category	authors	title	venue	year	pmid	doi	pmcid	url	fulltext_xml	topics	status
cardiopulmonary	Burns EA, Gentille C, Trachtenberg B, Pingali SR, Anand K.	Cardiotoxicity Associated with Anti-CD19 Chimeric Antigen Receptor T-Cell (CAR-T) Therapy: Recognition, Risk Factors, and Management	Diseases (Basel, Switzerland)	2021	33802788	10.3390/diseases9010020	PMC8006027	https://pmc.ncbi.nlm.nih.gov/articles/PMC8006027/	fulltext/burns_2021_pmid33802788.xml	cardiopulmonary;clinical;cytokine_release_syndrome;hematologic_malignancy;organ_function;pediatric;review	fulltext_xml
cardiopulmonary	Stein-Merlob AF, Rothberg MV, Holman P, Yang EH.	Immunotherapy-Associated Cardiotoxicity of Immune Checkpoint Inhibitors and Chimeric Antigen Receptor T Cell Therapy: Diagnostic and Management Challenges and Strategies	Current cardiology reports	2021	33483873	10.1007/s11886-021-01440-3	PMC7821837	https://pmc.ncbi.nlm.nih.gov/articles/PMC7821837/	fulltext/steinmerlob_2021_pmid33483873.xml	cardiopulmonary;clinical;cytokine_release_syndrome;infection_immune;organ_function;review	fulltext_xml
cardiopulmonary	Dal'bo N, Patel R, Parikh R, Shah SP, Guha A, Dani SS, Ganatra S.	Cardiotoxicity of Contemporary Anticancer Immunotherapy	Current treatment options in cardiovascular medicine	2020	33162729	10.1007/s11936-020-00867-1	PMC7605901	https://pmc.ncbi.nlm.nih.gov/articles/PMC7605901/	fulltext/dalbo_2020_pmid33162729.xml	cardiopulmonary;clinical;cytokine_release_syndrome;organ_function;review;steroids_immunomodulation	fulltext_xml
cardiopulmonary	Ghosh AK, Chen DH, Guha A, Mackenzie S, Walker JM, Roddie C.	CAR T Cell Therapy-Related Cardiovascular Outcomes and Management: Systemic Disease or Direct Cardiotoxicity?	JACC. CardioOncology	2020	34396213	10.1016/j.jaccao.2020.02.011	PMC8352125	https://pmc.ncbi.nlm.nih.gov/articles/PMC8352125/	fulltext/ghosh_2020_pmid34396213.xml	cardiopulmonary;clinical;cytokine_release_syndrome;neurotoxicity;organ_function;review	fulltext_xml
cardiopulmonary	Gutierrez C, Brown ART, Herr MM, Kadri SS, Hill B, Rajendram P, Duggal A, Turtle CJ, Patel K, Lin Y, May HP, Gallo de Moraes A, Maus MV, Frigault MJ, Brudno JN, Athale J, Shah NN, Kochenderfer JN, Dharshan A, Beitinjaneh A, Arias AS, McEvoy C, Mead E, Stephens RS, Nates JL, Neelapu SS, Pastores SM.	The chimeric antigen receptor-intensive care unit (CAR-ICU) initiative: Surveying intensive care unit practices in the management of CAR T-cell associated toxicities	Journal of critical care	2020	32361219	10.1016/j.jcrc.2020.04.008	PMC7321897	https://pmc.ncbi.nlm.nih.gov/articles/PMC7321897/		cardiopulmonary;clinical;cytokine_release_syndrome;hlh_mas;infection_immune;neurotoxicity;organ_function;steroids_immunomodulation	metadata_only
cardiopulmonary	Simbaqueba CC, Aponte MP, Kim P, Deswal A, Palaskas NL, Iliescu C, Jahangir E, Yang EH, Steiner RE, Lopez-Mattei J.	Cardiovascular Complications of Chimeric Antigen Receptor T-Cell Therapy: The Cytokine Release Syndrome and Associated Arrhythmias	Journal of immunotherapy and precision oncology	2020	35663258	10.36401/jipo-20-10	PMC9165578	https://pmc.ncbi.nlm.nih.gov/articles/PMC9165578/		cardiopulmonary;clinical;cytokine_release_syndrome;neurotoxicity;organ_function;review	metadata_only
cardiopulmonary	Shusterman S, London WB, Gillies SD, Hank JA, Voss SD, Seeger RC, Reynolds CP, Kimball J, Albertini MR, Wagner B, Gan J, Eickhoff J, DeSantes KB, Cohn SL, Hecht T, Gadbaw B, Reisfeld RA, Maris JM, Sondel PM.	Antitumor activity of hu14.18-IL2 in patients with relapsed/refractory neuroblastoma: a Children's Oncology Group (COG) phase II study	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	2010	20921469	10.1200/jco.2009.27.8861	PMC3020698	https://pmc.ncbi.nlm.nih.gov/articles/PMC3020698/		cardiopulmonary;clinical;cytokine_release_syndrome;gd2_agent;hematologic_malignancy;hepatic;neuroblastoma;organ_function;pediatric;systemic_iv	metadata_only
infection_immune	Al-Bazaz M, Pischke S, Alsdorf W, Sonnemann P, Cichutek S, Wiesch JSZ, Schaefers C, Artzenroth J, Leypoldt L, Kamili A, Bokemeyer C, Weisel K, Kosch R.	Hepatitis E virus infections in people with multiple myeloma: an emerging challenge in the era of immunotherapeutic approaches	Haematologica	2026	40994343	10.3324/haematol.2025.288381	PMC12951165	https://pmc.ncbi.nlm.nih.gov/articles/PMC12951165/	fulltext/albazaz_2026_pmid40994343.xml	clinical;hematologic_malignancy;hepatic;infection_immune;organ_function	fulltext_xml
infection_immune	Alameer RM, Alamro B, Alanazi K, Alahmari A, Almousa G, Almohaizeie A, Samarkandi H, Almaghrabi RS.	Use of Cytomegalovirus Immunoglobulin with Antiviral Therapy for Cytomegalovirus Infection in Transplant Recipients: A Tertiary Care Single-Center Experience	Viruses	2026	42357610	10.3390/v18060599	PMC13307840	https://pmc.ncbi.nlm.nih.gov/articles/PMC13307840/	fulltext/alameer_2026_pmid42357610.xml	clinical;hematologic_malignancy;infection_immune	fulltext_xml
infection_immune	Bouvier A, Durand A, Dupont V, Gower N, Lorente CC, Campidelli A, Dulery R, Gangneux JP, Joris M, Eloit M, Latiere C, di Blasi R, Denis B, Gabellier L, Morschhauser F, Casasnovas O, Houot R, Angebault C, Bachy E, Le Bras F, Gastinne T, Tudesq JJ, Lemonnier F, Melica G.	Invasive fungal infections after CD19 chimeric antigen receptor T-cell therapy for B-cell lymphoma: a Lymphoma study association study from the DESCAR-T (Dispositif d'Enregistrement et Suivi des patients traités par CAR-T cells) registry	Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases	2026	41109429	10.1016/j.cmi.2025.10.005		https://doi.org/10.1016/j.cmi.2025.10.005		clinical;hematologic_malignancy;infection_immune	metadata_only
infection_immune	Buvelot H, Baleydier F, Pittet L, Blanchard-Rohner G.	Factors Affecting Immune Reconstitution Post-Allogeneic HSCT in Children: The Case for an Individualized Approach to Vaccination	European journal of haematology	2026	41408960	10.1111/ejh.70085	PMC12958788	https://pmc.ncbi.nlm.nih.gov/articles/PMC12958788/	fulltext/buvelot_2026_pmid41408960.xml	clinical;hematologic_malignancy;infection_immune;pediatric;review	fulltext_xml
infection_immune	Cao W, Meng F, Feng S, Zhao M, Song J, Sun Y, Cao W, Tian W, Hu Y, Fan F, Tang X, Qian W, Zhang Y, Wei J.	Expert Consensus on Cytomegalovirus Management in Recipients of CAR-T Cell and Bispecific Antibody Therapies	Journal of evidence-based medicine	2026	41531379	10.1111/jebm.70107		https://doi.org/10.1111/jebm.70107		clinical;infection_immune;steroids_immunomodulation	metadata_only
infection_immune	Chakraborty S, Pramanik J, Alviter-Raymundo G, Ward CJ, Shaji SK, Yamashita-Kanemaru Y, Ali FAZ, Banik D, Zhang Z, Veiga-Villauriz C, Homer NZM, Simpson J, Laforest S, Tong S, Zhao Q, Roy J, Iqbal M, Morris AC, Chapman MA, Roychoudhuri R, Hussein H, Klenerman D, Saeb-Parsy K, Mahata B.	Cortisol-resistant CAR-NK cells overcome steroid-induced immunosuppression in lung cancer	Signal transduction and targeted therapy	2026	41956993	10.1038/s41392-026-02638-z	PMC13066642	https://pmc.ncbi.nlm.nih.gov/articles/PMC13066642/	fulltext/chakraborty_2026_pmid41956993.xml	cardiopulmonary;infection_immune;locoregional_cns;organ_function;other_solid;preclinical;steroids_immunomodulation	fulltext_xml
infection_immune	Chalmin Katz A, Egan KP, Syeda Z, Son S, Watson B, Gopalakrishnan M, Bromberg V, Radaelli E, Assenmacher CA, Awasthi S, Cohen GH, Friedman HM.	Immunogenicity and Efficacy of a Trivalent HSV-2 gC2, gD2, gE2 Nucleoside-Modified mRNA-LNP Vaccine Against HSV-1 Eye Infection and Neuroinvasion in Mice	Vaccines	2026	41893790	10.3390/vaccines14030253	PMC13030542	https://pmc.ncbi.nlm.nih.gov/articles/PMC13030542/	fulltext/chalmin_2026_pmid41893790.xml	gd2_agent;infection_immune;preclinical	fulltext_xml
infection_immune	Choo HS, Yu T, Pham T, Singh N, Joshi S.	Myeloid derived suppressor cells in neuroblastoma: mechanisms of immune evasion and therapeutic opportunities	Frontiers in immunology	2026	41972140	10.3389/fimmu.2026.1773622	PMC13062264	https://pmc.ncbi.nlm.nih.gov/articles/PMC13062264/	fulltext/choo_2026_pmid41972140.xml	gd2_agent;infection_immune;neuroblastoma;other_solid;pediatric;preclinical;review	fulltext_xml
infection_immune	Cohen I, Lebel E, Grisariu S, Avni B, Kfir-Erenfeld S, Asherie N, Zimran E, Vainstein V, Assayag M, Sharon TD, Alexander-Shani R, Bessig N, Shehadeh A, Ishtay A, Schlossberg M, Pick M, Gatt ME, Bdolah-Abram T, Stepensky P, Elias S.	Viral Reactivation in Multiple Myeloma Patients Receiving Anti-BCMA Chimeric Antigen Receptor T-Cell Therapy	International journal of molecular sciences	2026	41977300	10.3390/ijms27073113	PMC13073535	https://pmc.ncbi.nlm.nih.gov/articles/PMC13073535/	fulltext/cohen_2026_pmid41977300.xml	clinical;hematologic_malignancy;infection_immune	fulltext_xml
infection_immune	Dello Strologo A, De Liso C, Scarsella G, Trotta A, Strazza C, Donatone L, Pesce F, Grandaliano G.	The immunosuppressive tumor microenvironment in post-transplant lymphoproliferative disorder: pathogenesis and novel therapeutic frontiers	Frontiers in immunology	2026	42023228	10.3389/fimmu.2026.1774164	PMC13095545	https://pmc.ncbi.nlm.nih.gov/articles/PMC13095545/	fulltext/dello_2026_pmid42023228.xml	clinical;infection_immune;review	fulltext_xml
infection_immune	Fan JB, Li QY, Feng XF, Huang SY, Wang R, Liao FY, Liu D, Liu WY, Sun JH, Zhang HC, Zhou HT, Jiang JX, Wang Z, Zeng L.	"The ""cytokine storm"" in infection and sepsis: win the battle but lose the war"	Military Medical Research	2026	41521316	10.1186/s40779-025-00678-0	PMC12794442	https://pmc.ncbi.nlm.nih.gov/articles/PMC12794442/	fulltext/fan_2026_pmid41521316.xml	clinical;cytokine_release_syndrome;hematologic_malignancy;infection_immune;review;steroids_immunomodulation	fulltext_xml
infection_immune	Gallardo-Pizarro A, Ariño M, Lopera C, Martinez-Urrea A, Terrones-Campos C, Castiella-Aranzasti A, González-Navarro EA, Albiol N, Teijon-Lumbreras C, Pitart C, Marcos MÁ, Ortíz-Maldonado V, Mensa J, Delgado J, Urbano-Ispizua Á, Fernández de Larrea C, Soriano A, Martinez-Cibrian N, Castro P, Garcia-Vidal C.	Infections in Patients With Cytokine Release Syndrome/Immune Effector Cell-Associated Neurotoxicity Syndrome Following Chimeric Antigen Receptor T-Cell Therapy	Open forum infectious diseases	2026	42281893	10.1093/ofid/ofag274	PMC13251341	https://pmc.ncbi.nlm.nih.gov/articles/PMC13251341/	fulltext/gallardopizarro_2026_pmid42281893.xml	clinical;cytokine_release_syndrome;infection_immune;neurotoxicity	fulltext_xml
infection_immune	Han Q, Zhang X, Chen L, Zhang Y.	Chimeric antigen receptor T‑cell therapy in chronic viral infections: a review	Journal of translational medicine	2026	41535864	10.1186/s12967-025-07582-0	PMC12888471	https://pmc.ncbi.nlm.nih.gov/articles/PMC12888471/	fulltext/han_2026_pmid41535864.xml	clinical;infection_immune;review	fulltext_xml
infection_immune	Hirao T, Kaji D, Kuno M, Watanabe O, Yamaguchi K, Kageyama K, Taya Y, Nishida A, Takagi S, Yamamoto H, Asano-Mori Y, Uchida N, Wake A, Yamamoto G.	Hypogammaglobulinemia at Leukapheresis Predicts Delayed Humoral Immune Reconstitution and Increased Risk of Infections After CD19 CAR-T for B-Cell Lymphoma	Transplantation and cellular therapy	2026	41698482	10.1016/j.jtct.2026.02.046		https://doi.org/10.1016/j.jtct.2026.02.046		clinical;grading_management;hematologic_malignancy;infection_immune	metadata_only
infection_immune	Imataki O, Takagi H, Ishida T, Uemura M.	Triple Infections With Campylobacter coli, Cytomegalovirus, and SARS-CoV-2 in a Lymphoma Patient Treated With Epcoritamab	Cureus	2026	41835636	10.7759/cureus.103323	PMC12980043	https://pmc.ncbi.nlm.nih.gov/articles/PMC12980043/	fulltext/imataki_2026_pmid41835636.xml	clinical;hematologic_malignancy;infection_immune;steroids_immunomodulation	fulltext_xml
infection_immune	Kaplan D, Blyth E, Sutrave G, Yong MK, Gottlieb DJ, Abendroth A, Slobedman B, Stern L.	Human Cytomegalovirus Infection in Haematopoietic Stem Cell Transplant Recipients and CAR T Cell Recipients - PART 1: Risk Factors, Clinical Impact and Immune Response	Reviews in medical virology	2026	41982051	10.1002/rmv.70142	PMC13080285	https://pmc.ncbi.nlm.nih.gov/articles/PMC13080285/	fulltext/kaplan_2026_pmid41982051.xml	clinical;infection_immune;review	fulltext_xml
infection_immune	Khan MA, Shafiq M, Khan MA, Khan FH, McGuirk JP, Okut H, Ellerbeck E, Ahmed N.	Cytomegalovirus Infection and Clinical Outcomes in Hospitalized Chimeric Antigen Receptor T-Cell Therapy Recipients	Cureus	2026	41664759	10.7759/cureus.101121	PMC12882843	https://pmc.ncbi.nlm.nih.gov/articles/PMC12882843/	fulltext/khan_2026_pmid41664759.xml	clinical;hematologic_malignancy;infection_immune;neurotoxicity	fulltext_xml
