category	authors	title	venue	year	pmid	doi	pmcid	url	local_pdf	supp_pdf	topics	status
editorial_correspondence	Tian G, Courtney AN, Heczey A et al.	"Response to: Correspondence on ""Hyperleukocytosis in a neuroblastoma patient after treatment with natural killer T cells expressing a GD2-specific chimeric antigen receptor and IL-15"" by Ataca Atilla and Atilla."	Journal for immunotherapy of cancer	2025	40044579	10.1136/jitc-2025-011858	PMC11883543	https://pmc.ncbi.nlm.nih.gov/articles/PMC11883543/	pdfs/tian_2025_pmid40044579.pdf		neuroblastoma;CAR-NKT;CAR-NK;cytokine_armoring;toxicity	downloaded_europepmc
editorial_correspondence	Locatelli F, Pagliara D, De Ioris MA et al.	Publisher Correction: GD2-targeting CAR T cells in high-risk neuroblastoma: a phase 1/2 trial.	Nature medicine	2025	40926103	10.1038/s41591-025-03996-x		https://doi.org/10.1038/s41591-025-03996-x	pdfs/locatelli_2025_pmid40926103.pdf		neuroblastoma	downloaded_unpaywall
editorial_correspondence	Arnett AB, Heczey A	GD2-CAR CAR T cells in patients with osteosarcoma and neuroblastoma-it's not only the T cells that matter.	Cancer cell	2024	38134937	10.1016/j.ccell.2023.11.012		https://doi.org/10.1016/j.ccell.2023.11.012			neuroblastoma;sarcoma	not_available_oa
editorial_correspondence	Heczey A, Xu X, Courtney AN et al.	Author Correction: Anti-GD2 CAR-NKT cells in relapsed or refractory neuroblastoma: updated phase 1 trial interim results.	Nature medicine	2024	38195754	10.1038/s41591-024-02799-w		https://doi.org/10.1038/s41591-024-02799-w	pdfs/heczey_2024_pmid38195754.pdf		neuroblastoma;CAR-NKT;CAR-NK	downloaded_unpaywall
editorial_correspondence	Power EA, Millesi E, Rechberger JS et al.	CAR-T cells for H3K27-altered diffuse midline gliomas: where do we stand?	Immunotherapy	2024	39016046	10.1080/1750743X.2024.2373043	PMC11457631	https://pmc.ncbi.nlm.nih.gov/articles/PMC11457631/	pdfs/power_2024_pmid39016046.pdf		DMG_DIPG_H3K27M;glioma_GBM	downloaded_europepmc
editorial_correspondence	Monje M, Mahdi J, Majzner R et al.	Author Correction: Intravenous and intracranial GD2-CAR T cells for H3K27M(+) diffuse midline gliomas.	Nature	2024	39613972	10.1038/s41586-024-08452-3	PMC11655351	https://pmc.ncbi.nlm.nih.gov/articles/PMC11655351/	pdfs/monje_2024_pmid39613972.pdf		DMG_DIPG_H3K27M;glioma_GBM	downloaded_europepmc
editorial_correspondence	Franson A, Koschmann C	Enhancing GD2 CAR T-cell therapy with IGF-1R blockade: Are DIPG CAR T cells ready for combinatorial therapy?	Neuro-oncology	2022	35323961	10.1093/neuonc/noac073	PMC9248381	https://pmc.ncbi.nlm.nih.gov/articles/PMC9248381/	pdfs/franson_2022_pmid35323961.pdf		DMG_DIPG_H3K27M	downloaded_europepmc
editorial_correspondence	Tumino N, Weber G, Besi F et al.	Polymorphonuclear myeloid-derived suppressor cells impair the anti-tumor efficacy of GD2.CAR T-cells in patients with neuroblastoma.	Journal of hematology & oncology	2021	34772439	10.1186/s13045-021-01193-0	PMC8588686	https://pmc.ncbi.nlm.nih.gov/articles/PMC8588686/	pdfs/tumino_2021_pmid34772439.pdf		neuroblastoma	downloaded_europepmc
editorial_correspondence	Furukawa K, Ohmi Y, Furukawa K	Anti-GD2 CAR T cells could prove transformative for H3-K27M(+) diffuse midline gliomas.	Translational cancer research	2019	35117070	10.21037/tcr.2018.08.21	PMC8797336	https://pmc.ncbi.nlm.nih.gov/articles/PMC8797336/	pdfs/furukawa_2019_pmid35117070.pdf		DMG_DIPG_H3K27M;glioma_GBM	downloaded_europepmc
editorial_correspondence	Furukawa K, Ohmi Y, Furukawa K	Erratum to anti-GD2 CAR T cells could prove transformative for H3-K27M(+) diffuse midline gliomas.	Translational cancer research	2019	35129554	10.21037/tcr.2019.04.17	PMC8798005	https://pmc.ncbi.nlm.nih.gov/articles/PMC8798005/	pdfs/furukawa_2019_pmid35129554.pdf		DMG_DIPG_H3K27M;glioma_GBM	downloaded_europepmc
editorial_correspondence	Majzner RG, Weber EW, Lynn RC et al.	Neurotoxicity Associated with a High-Affinity GD2 CAR-Letter.	Cancer immunology research	2018	29610423	10.1158/2326-6066.CIR-18-0089		https://doi.org/10.1158/2326-6066.CIR-18-0089			scFv_affinity;toxicity	not_available_oa
editorial_correspondence	Richman SA, Milone MC	Neurotoxicity Associated with a High-Affinity GD2 CAR-Response.	Cancer immunology research	2018	29610424	10.1158/2326-6066.CIR-18-0090		https://doi.org/10.1158/2326-6066.CIR-18-0090			scFv_affinity;toxicity	not_available_oa
