category	authors	title	venue	year	pmid	doi	pmcid	url	local_pdf	fulltext_xml	topics	status
viral_vector	Balasubramanian N, Gaudencio G, Khan KM, Biggerstaff N, Marcinkiewcz CA.	Adolescent social isolation facilitates tau spread in raphe nuclei, linking depression and hyperalgesia in Alzheimer's disease	Neurobiology of disease	2026	41967651	10.1016/j.nbd.2026.107393		https://doi.org/10.1016/j.nbd.2026.107393			brainstem;viral_vector	metadata_only
viral_vector	BinSharhan AS, AlAbdullah AM, Alabdullatif SF, Aboushark YY, Alateeq NM, Alhajjaj WA, Alrabea HO, Saeedi F.	A Decade of Oncolytic Virotherapy in Pediatric Cancers: A Systematic Review of Safety, Immune Awakening, and Emerging Efficacy	Cureus	2026	41705010	10.7759/cureus.101744	PMC12908731	https://pmc.ncbi.nlm.nih.gov/articles/PMC12908731/		fulltext/binsharhan_2026_pmid41705010.xml	radiation_combined;viral_vector	fulltext_xml
viral_vector	Elgehiny A, Fan AE, Frost M, He J, Gary SE, Osorio DS, Zaky W, Zhou L, Kang KD, Zhang Z, Fueyo J, Gomez-Manzano C, Thompson EM, Bernstock JD, Friedman GK.	Clinical and translational progress in oncolytic virotherapy for pediatric CNS tumors	Journal of neuro-oncology	2026	41741902	10.1007/s11060-026-05480-z	PMC12935792	https://pmc.ncbi.nlm.nih.gov/articles/PMC12935792/		fulltext/elgehiny_2026_pmid41741902.xml	dipg_dmg;viral_vector	fulltext_xml
viral_vector	Gumennaya YD, Valikhov MP, Naberezhnaya ER, Vorobyev PO, Vadekhina VV, Alekseeva ON, Sosnovtseva AO, Kochetkov DV, Soboleva AV, Ibrahim L, Ionov SA, Yusubalieva GM, Ivanov AV, Chumakov PM, Poteryakhina AV.	Humanized Murine Glioblastoma Models for Evaluation of Coxsackievirus Oncolytic Therapy	Cancers	2026	42073603	10.3390/cancers18081280	PMC13114285	https://pmc.ncbi.nlm.nih.gov/articles/PMC13114285/		fulltext/gumennaya_2026_pmid42073603.xml	viral_vector	fulltext_xml
viral_vector	Kuwahara A, Fenton EM, Lovejoy C, Lee T, Wang L, Fogarty M, Jung J, Guo SM, Maynard LH, May AP, Rossenberg-Hasson Y, Clarke JL, Diaz AA, Phillips JJ, Kelly L, Clément N, Paulk NK.	AAV immuno-gene therapy platform delivering vectorized cytokines defines a new modality for high-grade glioma treatment	Molecular therapy. Oncology	2026	42005833	10.1016/j.omton.2026.201183	PMC13091051	https://pmc.ncbi.nlm.nih.gov/articles/PMC13091051/		fulltext/kuwahara_2026_pmid42005833.xml	convection_enhanced_delivery;systemic_bbb_pharmacology;viral_vector	fulltext_xml
viral_vector	Lacher RK, Henson K, Wathen LN, Jones C, Arnold T, Rice MR, Carles HM, White AR, Ramsuchit E, Murrey D, Raig R, Fisher A, Bucher K, Westerkamp GC, Fritz AL, Gollaway BM, Piloto S, Dismuke D, Robinson JE, Williams MT, Vorhees CV, De Silva EK, Tiwari D, Erickson CA, Pedapati EV, Gross C.	FMR1 gene therapy restores translationally relevant phenotypes in a mouse model for fragile X syndrome	Gene therapy	2026	42432256	10.1038/s41434-026-00630-4		https://doi.org/10.1038/s41434-026-00630-4			brainstem;imaging_dosimetry_modeling;intrathecal_csf;viral_vector	metadata_only
viral_vector	Li J, Chaurasiya S, Sun G, Cui Q, Ye P, Qin Y, Zhou T, Wang X, Fong Y, Maus MV, Shi Y.	Developing a multimodal therapy for glioblastoma using oncolytic virus delivering CD19 and EGFRvIII antigens and bi-specific CARs	Nature communications	2026	41957020	10.1038/s41467-026-71021-x	PMC13222885	https://pmc.ncbi.nlm.nih.gov/articles/PMC13222885/		fulltext/li_2026_pmid41957020.xml	cell_therapy_delivery;viral_vector	fulltext_xml
viral_vector	Mathews MA, Tung VWK, Reader-Harris EC, Murray AJ.	Selective genetic targeting of the mouse efferent vestibular nucleus identifies monosynaptic inputs and indicates function as multimodal integrator	Journal of neurophysiology	2026	41770522	10.1152/jn.00467.2025	PMC7618883	https://pmc.ncbi.nlm.nih.gov/articles/PMC7618883/		fulltext/mathews_2026_pmid41770522.xml	brainstem;viral_vector	fulltext_xml
viral_vector	Poboży K, Ząbek Z, Turek G, Litak J, Zhu B, Gierszon P, Litak J, Szymoniuk M, Zielińska-Turek J, Staśkiewicz G, Torres K, Ząbek M, Czyżewski W.	Reprogramming the Immunosuppressive Microenvironment in Glioblastoma Through Oncolytic Herpes Simplex Virus Therapy: A Systematic Review	Cells	2026	42193877	10.3390/cells15100867	PMC13204738	https://pmc.ncbi.nlm.nih.gov/articles/PMC13204738/		fulltext/poboy_2026_pmid42193877.xml	viral_vector	fulltext_xml
viral_vector	Qian Z, Gao Q, Zhang W.	Combination of oncolytic viruses and immune checkpoint inhibitors for treatment of high-grade gliomas	Frontiers in neurology	2026	41756179	10.3389/fneur.2026.1683726	PMC12932173	https://pmc.ncbi.nlm.nih.gov/articles/PMC12932173/		fulltext/qian_2026_pmid41756179.xml	radiation_combined;viral_vector	fulltext_xml
