category	authors	title	venue	year	pmid	doi	pmcid	url	local_pdf	supp_pdf	topics	status
primary_research	Dokouhaki P, Han M, Joe B et al.	Adoptive immunotherapy of cancer using ex vivo expanded human gammadelta T cells: A new approach.	Cancer letters	2010	20537791	10.1016/j.canlet.2010.05.005		https://doi.org/10.1016/j.canlet.2010.05.005			adoptive_expansion;leukemia;lung	no_pmcid
primary_research	Lisowska H, Deperas-Kaminska M, Haghdoost S et al.	Radiation-induced DNA damage and repair in human gammadelta and alphabeta T-lymphocytes analysed by the alkaline comet assay.	Genome integrity	2010	20678258	10.1186/2041-9414-1-8	PMC2914012	https://pmc.ncbi.nlm.nih.gov/articles/PMC2914012/	pdfs/lisowska_2010_pmid20678258.pdf			downloaded_europepmc
primary_research	Gong W, Xiao W, Qian L et al.	Immobilized MHC class I chain-related protein A synergizes with IL-15 and soluble 4-1BB ligand to expand NK cells with high cytotoxicity ex vivo.	Cellular & molecular immunology	2010	20871627	10.1038/cmi.2010.41	PMC4002957	https://pmc.ncbi.nlm.nih.gov/articles/PMC4002957/	pdfs/gong_2010_pmid20871627.pdf		adoptive_expansion;mechanism_cytotox;leukemia	downloaded_europepmc
primary_research	Li H, Wang Y, Zhou F	Effect of ex vivo-expanded γδ-T cells combined with galectin-1 antibody on the growth of human cervical cancer xenografts in SCID mice.	Clinical and investigative medicine. Medecine clinique et experimentale	2010	20926034	10.25011/cim.v33i5.14353		https://doi.org/10.25011/cim.v33i5.14353			adoptive_expansion;tumor_infiltrating;mechanism_cytotox;immunosuppression;leukemia	no_pmcid
primary_research	Kabelitz D	Human γδ T lymphocytes for immunotherapeutic strategies against cancer.	F1000 medicine reports	2010	20948839	10.3410/M2-45	PMC2950047	https://pmc.ncbi.nlm.nih.gov/articles/PMC2950047/	pdfs/kabelitz_2010_pmid20948839.pdf		aminobisphosphonate;Vd2_Vg9;mechanism_cytotox	downloaded_europepmc
primary_research	Jiang H, Xu Q, Yang C et al.	[gammadelta T cells stimulated by zoledronate kill osteosarcoma cells].	Xi bao yu fen zi mian yi xue za zhi = Chinese journal of cellular and molecular immunology	2010	21138682			https://pubmed.ncbi.nlm.nih.gov/21138682/			aminobisphosphonate;mechanism_cytotox	no_pmcid
primary_research	Yuasa T, Sato K, Ashihara E et al.	Intravesical administration of gammadelta T cells successfully prevents the growth of bladder cancer in the murine model.	Cancer immunology, immunotherapy : CII	2009	18682944	10.1007/s00262-008-0571-9	PMC11029835	https://pmc.ncbi.nlm.nih.gov/articles/PMC11029835/	pdfs/yuasa_2009_pmid18682944.pdf		aminobisphosphonate;adoptive_expansion;leukemia	downloaded_europepmc
primary_research	Kunzmann V, Kimmel B, Herrmann T et al.	Inhibition of phosphoantigen-mediated gammadelta T-cell proliferation by CD4+ CD25+ FoxP3+ regulatory T cells.	Immunology	2009	18775028	10.1111/j.1365-2567.2008.02894.x	PMC2632687	https://pmc.ncbi.nlm.nih.gov/articles/PMC2632687/			phosphoantigen_BTN;adoptive_expansion;mechanism_cytotox;immunosuppression	not_available_oa
primary_research	Li Y, Chen S, Yang L et al.	TRGV and TRDV repertoire distribution and clonality of T cells from umbilical cord blood.	Transplant immunology	2009	19013241	10.1016/j.trim.2008.10.010		https://doi.org/10.1016/j.trim.2008.10.010			adoptive_expansion;leukemia	no_pmcid
primary_research	Puan KJ, Low JS, Tan TW et al.	Phenotypic and functional alterations of Vgamma2Vdelta2 T cell subsets in patients with active nasopharyngeal carcinoma.	Cancer immunology, immunotherapy : CII	2009	19043708	10.1007/s00262-008-0629-8	PMC2695875	https://pmc.ncbi.nlm.nih.gov/articles/PMC2695875/	pdfs/puan_2009_pmid19043708.pdf		Vd2_Vg9;mechanism_cytotox	downloaded_europepmc
primary_research	Higuchi T, Shimizu M, Owaki A et al.	A possible mechanism of intravesical BCG therapy for human bladder carcinoma: involvement of innate effector cells for the inhibition of tumor growth.	Cancer immunology, immunotherapy : CII	2009	19139883	10.1007/s00262-008-0643-x	PMC11030957	https://pmc.ncbi.nlm.nih.gov/articles/PMC11030957/	pdfs/higuchi_2009_pmid19139883.pdf		adoptive_expansion;mechanism_cytotox	downloaded_europepmc
primary_research	Brandes M, Willimann K, Bioley G et al.	Cross-presenting human gammadelta T cells induce robust CD8+ alphabeta T cell responses.	Proceedings of the National Academy of Sciences of the United States of America	2009	19171897	10.1073/pnas.0810059106	PMC2650152	https://pmc.ncbi.nlm.nih.gov/articles/PMC2650152/	pdfs/brandes_2009_pmid19171897.pdf		adoptive_expansion;Vd2_Vg9	downloaded_europepmc
primary_research	Martinet L, Fleury-Cappellesso S, Gadelorge M et al.	A regulatory cross-talk between Vgamma9Vdelta2 T lymphocytes and mesenchymal stem cells.	European journal of immunology	2009	19197941	10.1002/eji.200838812		https://doi.org/10.1002/eji.200838812			phosphoantigen_BTN;Vd2_Vg9;tumor_infiltrating;immunosuppression;lymphoma	no_pmcid
primary_research	Bryant NL, Suarez-Cuervo C, Gillespie GY et al.	Characterization and immunotherapeutic potential of gammadelta T-cells in patients with glioblastoma.	Neuro-oncology	2009	19211933	10.1215/15228517-2008-111	PMC2743216	https://pmc.ncbi.nlm.nih.gov/articles/PMC2743216/	pdfs/bryant_2009_pmid19211933.pdf		adoptive_expansion;tumor_infiltrating;mechanism_cytotox;glioma	downloaded_europepmc
primary_research	Landmeier S, Altvater B, Pscherer S et al.	Activated human gammadelta T cells as stimulators of specific CD8+ T-cell responses to subdominant Epstein Barr virus epitopes: potential for immunotherapy of cancer.	Journal of immunotherapy (Hagerstown, Md. : 1997)	2009	19242369	10.1097/CJI.0b013e31819b7c30	PMC3176339	https://pmc.ncbi.nlm.nih.gov/articles/PMC3176339/			aminobisphosphonate;adoptive_expansion;Vd2_Vg9;mechanism_cytotox;lymphoma	not_available_oa
primary_research	Hiasa A, Nishikawa H, Hirayama M et al.	Rapid alphabeta TCR-mediated responses in gammadelta T cells transduced with cancer-specific TCR genes.	Gene therapy	2009	19242528	10.1038/gt.2009.6		https://doi.org/10.1038/gt.2009.6			adoptive_expansion;mechanism_cytotox	no_pmcid
primary_research	Thedrez A, Harly C, Morice A et al.	IL-21-mediated potentiation of antitumor cytolytic and proinflammatory responses of human V gamma 9V delta 2 T cells for adoptive immunotherapy.	Journal of immunology (Baltimore, Md. : 1950)	2009	19265120	10.4049/jimmunol.0803068		https://doi.org/10.4049/jimmunol.0803068			phosphoantigen_BTN;adoptive_expansion;Vd2_Vg9;mechanism_cytotox	no_pmcid
primary_research	Gertner-Dardenne J, Bonnafous C, Bezombes C et al.	Bromohydrin pyrophosphate enhances antibody-dependent cell-mediated cytotoxicity induced by therapeutic antibodies.	Blood	2009	19278954	10.1182/blood-2008-08-172296		https://doi.org/10.1182/blood-2008-08-172296			phosphoantigen_BTN;Vd2_Vg9;mechanism_cytotox;leukemia;lymphoma	no_pmcid
