category	authors	title	venue	year	pmid	doi	pmcid	url	local_pdf	fulltext_xml	topics	status
inhalation	Wang Y, Zhang J, Liu Y et al.	Realveolarization with inhalable mucus-penetrating lipid nanoparticles for the treatment of pulmonary fibrosis in mice.	Science advances	2024	38865465	10.1126/sciadv.ado4791	PMC11168475	https://pmc.ncbi.nlm.nih.gov/articles/PMC11168475/		fulltext/wang_2024_pmid38865465.xml	inhalation;lung	fulltext_xml
extrahepatic	Zhang Y, Gao Z, Yang X et al.	Leveraging high-throughput screening technologies in targeted mRNA delivery.	Materials today. Bio	2024	38883419	10.1016/j.mtbio.2024.101101	PMC11176929	https://pmc.ncbi.nlm.nih.gov/articles/PMC11176929/		fulltext/zhang_2024_pmid38883419.xml	ml_optimization;extrahepatic	fulltext_xml
extrahepatic	Popoola DO, Cao Z, Men Y et al.	Lung-Specific mRNA Delivery Enabled by Sulfonium Lipid Nanoparticles.	Nano letters	2024	38888232	10.1021/acs.nanolett.4c01854	PMC12013526	https://pmc.ncbi.nlm.nih.gov/articles/PMC12013526/			extrahepatic;lung_targeting	metadata_only
extrahepatic	Petersen DMS, Weiss RM, Hajj KA et al.	Branched-Tail Lipid Nanoparticles for Intravenous mRNA Delivery to Lung Immune, Endothelial, and Alveolar Cells in Mice.	Advanced healthcare materials	2024	38888972	10.1002/adhm.202400225	PMC11368637	https://pmc.ncbi.nlm.nih.gov/articles/PMC11368637/			immune;extrahepatic;lung	metadata_only
inhalation	Jang M, Yeom K, Han J et al.	Inhalable mRNA Nanoparticle with Enhanced Nebulization Stability and Pulmonary Microenvironment Infiltration.	ACS nano	2024	39174871	10.1021/acsnano.4c05653		https://doi.org/10.1021/acsnano.4c05653			inhalation;lung	metadata_only
lipid_engineering	Lotter C, Kuzucu EÜ, Casper J et al.	Comparison of ionizable lipids for lipid nanoparticle mediated DNA delivery.	European journal of pharmaceutical sciences : official journal of the European Federation for Pharmaceutical Sciences	2024	39260517	10.1016/j.ejps.2024.106898		https://doi.org/10.1016/j.ejps.2024.106898			lipid_engineering;biodistribution	metadata_only
lipid_engineering	Chaudhary N, Kasiewicz LN, Newby AN et al.	Amine headgroups in ionizable lipids drive immune responses to lipid nanoparticles by binding to the receptors TLR4 and CD1d.	Nature biomedical engineering	2024	39363106	10.1038/s41551-024-01256-w	PMC11863198	https://pmc.ncbi.nlm.nih.gov/articles/PMC11863198/			lipid_engineering;lipid_library	metadata_only
extrahepatic	Liu C, Jiang Y, Xue W et al.	Multiple tail ionizable lipids improve in vivo mRNA delivery efficiency with biosafety.	International journal of pharmaceutics	2024	39454975	10.1016/j.ijpharm.2024.124868		https://doi.org/10.1016/j.ijpharm.2024.124868			lipid_engineering;extrahepatic	metadata_only
spleen_targeting	Luo Z, Lin Y, Meng Y et al.	Spleen-Targeted mRNA Vaccine Doped with Manganese Adjuvant for Robust Anticancer Immunity In Vivo.	ACS nano	2024	39463304	10.1021/acsnano.4c09902		https://doi.org/10.1021/acsnano.4c09902			spleen;spleen_targeting	metadata_only
lung_targeting	Radmand A, Lokugamage MP, Kim H et al.	The Transcriptional Response to Lung-Targeting Lipid Nanoparticles in Vivo.	Nano letters	2023	36701517	10.1021/acs.nanolett.2c04479	PMC9912332	https://pmc.ncbi.nlm.nih.gov/articles/PMC9912332/		fulltext/radmand_2023_pmid36701517.xml	lung_targeting;lung	fulltext_xml
biodistribution	Ilić T, Đoković JB, Nikolić I et al.	Parenteral Lipid-Based Nanoparticles for CNS Disorders: Integrating Various Facets of Preclinical Evaluation towards More Effective Clinical Translation.	Pharmaceutics	2023	36839768	10.3390/pharmaceutics15020443	PMC9966342	https://pmc.ncbi.nlm.nih.gov/articles/PMC9966342/		fulltext/ili_2023_pmid36839768.xml	lipid_library;brain;biodistribution	fulltext_xml
spleen_targeting	Pan L, Zhang L, Deng W et al.	Spleen-selective co-delivery of mRNA and TLR4 agonist-loaded LNPs for synergistic immunostimulation and Th1 immune responses.	Journal of controlled release : official journal of the Controlled Release Society	2023	36972863	10.1016/j.jconrel.2023.03.041		https://doi.org/10.1016/j.jconrel.2023.03.041			spleen;spleen_targeting	metadata_only
inhalation	Miao H, Huang K, Li Y et al.	Optimization of formulation and atomization of lipid nanoparticles for the inhalation of mRNA.	International journal of pharmaceutics	2023	37201764	10.1016/j.ijpharm.2023.123050		https://doi.org/10.1016/j.ijpharm.2023.123050			inhalation;lung	metadata_only
lipid_engineering	Yu H, Iscaro J, Dyett B et al.	Inverse Cubic and Hexagonal Mesophase Evolution within Ionizable Lipid Nanoparticles Correlates with mRNA Transfection in Macrophages.	Journal of the American Chemical Society	2023	37870621	10.1021/jacs.3c08729		https://doi.org/10.1021/jacs.3c08729			lipid_engineering;immune	metadata_only
inhalation	Kassab G, Doran K, Mo Y et al.	Inhalable Gene Therapy and the Lung Surfactant Problem.	Nano letters	2023	37930273	10.1021/acs.nanolett.3c03547		https://doi.org/10.1021/acs.nanolett.3c03547			inhalation;lung	metadata_only
lipid_engineering	Kim M, Jeong M, Lee G et al.	Novel piperazine-based ionizable lipid nanoparticles allow the repeated dose of mRNA to fibrotic lungs with improved potency and safety.	Bioengineering & translational medicine	2023	38023699	10.1002/btm2.10556	PMC10658549	https://pmc.ncbi.nlm.nih.gov/articles/PMC10658549/		fulltext/kim_2023_pmid38023699.xml	lipid_engineering;lung	fulltext_xml
lung_targeting	Qiu M, Tang Y, Chen J et al.	Lung-selective mRNA delivery of synthetic lipid nanoparticles for the treatment of pulmonary lymphangioleiomyomatosis.	Proceedings of the National Academy of Sciences of the United States of America	2022	35173043	10.1073/pnas.2116271119	PMC8872770	https://pmc.ncbi.nlm.nih.gov/articles/PMC8872770/		fulltext/qiu_2022_pmid35173043.xml	lung_targeting;lung	fulltext_xml
lipid_engineering	Giselbrecht J, Pinnapireddy SR, Alioglu F et al.	Investigating 3R In Vivo Approaches for Bio-Distribution and Efficacy Evaluation of Nucleic Acid Nanocarriers: Studies on Peptide-Mimicking Ionizable Lipid.	Small (Weinheim an der Bergstrasse, Germany)	2022	35355412	10.1002/smll.202107768		https://doi.org/10.1002/smll.202107768			lipid_engineering;biodistribution	metadata_only
lipid_engineering	Liu S, Liu J, Li H et al.	An optimized ionizable cationic lipid for brain tumor-targeted siRNA delivery and glioblastoma immunotherapy.	Biomaterials	2022	35779480	10.1016/j.biomaterials.2022.121645		https://doi.org/10.1016/j.biomaterials.2022.121645			lipid_engineering;brain	metadata_only
lipid_engineering	Yathindranath V, Safa N, Sajesh BV et al.	Spermidine/Spermine N1-Acetyltransferase 1 (SAT1)-A Potential Gene Target for Selective Sensitization of Glioblastoma Cells Using an Ionizable Lipid Nanoparticle to Deliver siRNA.	Cancers	2022	36358597	10.3390/cancers14215179	PMC9656607	https://pmc.ncbi.nlm.nih.gov/articles/PMC9656607/		fulltext/yathindranath_2022_pmid36358597.xml	lipid_engineering;brain	fulltext_xml
organ_targeting	Kim M, Jeong M, Hur S et al.	Engineered ionizable lipid nanoparticles for targeted delivery of RNA therapeutics into different types of cells in the liver.	Science advances	2021	33637537	10.1126/sciadv.abf4398	PMC7909888	https://pmc.ncbi.nlm.nih.gov/articles/PMC7909888/		fulltext/kim_2021_pmid33637537.xml	lipid_engineering;organ_targeting	fulltext_xml
lipid_engineering	Nakamura T, Nakade T, Yamada K et al.	The hydrophobic tail of a pH-sensitive cationic lipid influences siRNA transfection activity and toxicity in human NK cell lines.	International journal of pharmaceutics	2021	34592399	10.1016/j.ijpharm.2021.121140		https://doi.org/10.1016/j.ijpharm.2021.121140			lipid_engineering;endosomal	metadata_only
lipid_engineering	Ding F, Zhang H, Cui J et al.	Boosting ionizable lipid nanoparticle-mediated in vivo mRNA delivery through optimization of lipid amine-head groups.	Biomaterials science	2021	34647548	10.1039/d1bm00866h		https://doi.org/10.1039/d1bm00866h			lipid_engineering;biodistribution	metadata_only
lipid_engineering	Sato Y, Okabe N, Note Y et al.	Hydrophobic scaffolds of pH-sensitive cationic lipids contribute to miscibility with phospholipids and improve the efficiency of delivering short interfering RNA by small-sized lipid nanoparticles.	Acta biomaterialia	2020	31733331	10.1016/j.actbio.2019.11.022		https://doi.org/10.1016/j.actbio.2019.11.022			lipid_engineering;endosomal	metadata_only
immune_cell_targeting	Khan T, Mayuresh Patkar M, Momin M et al.	Macrophage targeted nanocarrier delivery systems in HIV therapeutics.	Expert opinion on drug delivery	2020	32347124	10.1080/17425247.2020.1762565		https://doi.org/10.1080/17425247.2020.1762565			immune_cell_targeting;immune	metadata_only
extrahepatic	Francia V, Schiffelers RM, Cullis PR et al.	The Biomolecular Corona of Lipid Nanoparticles for Gene Therapy.	Bioconjugate chemistry	2020	32786370	10.1021/acs.bioconjchem.0c00366		https://doi.org/10.1021/acs.bioconjchem.0c00366			lipid_library;extrahepatic;biodistribution	metadata_only
inhalation	Garbuzenko OB, Kbah N, Kuzmov A et al.	Inhalation treatment of cystic fibrosis with lumacaftor and ivacaftor co-delivered by nanostructured lipid carriers.	Journal of controlled release : official journal of the Controlled Release Society	2019	30677435	10.1016/j.jconrel.2019.01.025	PMC6461390	https://pmc.ncbi.nlm.nih.gov/articles/PMC6461390/		fulltext/garbuzenko_2019_pmid30677435.xml	lipid_library;inhalation	fulltext_xml
lipid_engineering	Vhora I, Lalani R, Bhatt P et al.	Lipid-nucleic acid nanoparticles of novel ionizable lipids for systemic BMP-9 gene delivery to bone-marrow mesenchymal stem cells for osteoinduction.	International journal of pharmaceutics	2019	30954673	10.1016/j.ijpharm.2019.04.006		https://doi.org/10.1016/j.ijpharm.2019.04.006			lipid_engineering;targeting_ligand	metadata_only
lipid_engineering	Suzuki Y, Ishihara H	Structure, activity and uptake mechanism of siRNA-lipid nanoparticles with an asymmetric ionizable lipid.	International journal of pharmaceutics	2016	27374199	10.1016/j.ijpharm.2016.06.124		https://doi.org/10.1016/j.ijpharm.2016.06.124			lipid_engineering;biodistribution	metadata_only
brain_targeting	Yao H, Wang K, Wang Y et al.	Enhanced blood-brain barrier penetration and glioma therapy mediated by a new peptide modified gene delivery system.	Biomaterials	2015	25453963	10.1016/j.biomaterials.2014.10.034		https://doi.org/10.1016/j.biomaterials.2014.10.034			brain_targeting;brain	metadata_only
lipid_engineering	Altınoglu S, Wang M, Xu Q	Combinatorial library strategies for synthesis of cationic lipid-like nanoparticles and their potential medical applications.	Nanomedicine (London, England)	2015	25723096	10.2217/nnm.14.192		https://doi.org/10.2217/nnm.14.192			lipid_engineering;lipid_library	metadata_only
brain_targeting	Bruun J, Larsen TB, Jølck RI et al.	Investigation of enzyme-sensitive lipid nanoparticles for delivery of siRNA to blood-brain barrier and glioma cells.	International journal of nanomedicine	2015	26451106	10.2147/IJN.S87334	PMC4590347	https://pmc.ncbi.nlm.nih.gov/articles/PMC4590347/		fulltext/bruun_2015_pmid26451106.xml	brain_targeting;brain	fulltext_xml
organ_targeting	Mukherjee B	Nanosize drug delivery system.	Current pharmaceutical biotechnology	2013	25106648	10.2174/138920101415140804121008		https://doi.org/10.2174/138920101415140804121008			targeting_ligand;organ_targeting;brain;biodistribution	metadata_only
