category	authors	title	venue	year	pmid	doi	pmcid	url	local_pdf	fulltext_xml	topics	status
mrna_cytokine	Ma L, Ma Y, Gao Q et al.	Mulberry Leaf Lipid Nanoparticles: a Naturally Targeted CRISPR/Cas9 Oral Delivery Platform for Alleviation of Colon Diseases	Small (Weinheim an der Bergstrasse, Germany)	2024	38243871	10.1002/smll.202307247		https://doi.org/10.1002/smll.202307247			mrna_cytokine;gene_editing	metadata_only
mrna_cytokine	Wang B, Tang M, Chen Q et al.	Delivery of mRNA Encoding Interleukin-12 and a Stimulator of Interferon Genes Agonist Potentiates Antitumor Efficacy through Reversing T Cell Exhaustion	ACS nano	2024	38832815	10.1021/acsnano.4c00063		https://doi.org/10.1021/acsnano.4c00063			mrna_cytokine;mrna_tf_reprogramming	metadata_only
mrna_cytokine	Wang Z, Chen Y, Wu H et al.	Intravenous administration of IL-12 encoding self-replicating RNA-lipid nanoparticle complex leads to safe and effective antitumor responses	Scientific reports	2024	38548896	10.1038/s41598-024-57997-w	PMC10978917	https://pmc.ncbi.nlm.nih.gov/articles/PMC10978917/		fulltext/wang_2024_pmid38548896.xml	mrna_cytokine;sarna_replicon	fulltext_xml
mrna_cytokine	Xu S, Xu Y, Solek NC et al.	Tumor-Tailored Ionizable Lipid Nanoparticles Facilitate IL-12 Circular RNA Delivery for Enhanced Lung Cancer Immunotherapy	Advanced materials (Deerfield Beach, Fla.)	2024	38657273	10.1002/adma.202400307		https://doi.org/10.1002/adma.202400307			mrna_cytokine;circrna;lnp_engineering	metadata_only
mrna_cytokine	Hughson AL, Hannon G, Salama NA et al.	Local Delivery of SBRT and IL12 by mRNA Technology Overcomes Immunosuppressive Barriers to Eliminate Pancreatic Cancer	bioRxiv : the preprint server for biology	2023	37961513	10.1101/2023.10.30.564833	PMC10635000	https://pmc.ncbi.nlm.nih.gov/articles/PMC10635000/			mrna_cytokine	metadata_only
mrna_cytokine	Ju H, Kim D, Oh YK	Lipid nanoparticle-mediated CRISPR/Cas9 gene editing and metabolic engineering for anticancer immunotherapy	Asian journal of pharmaceutical sciences	2022	36382304	10.1016/j.ajps.2022.07.005	PMC9640370	https://pmc.ncbi.nlm.nih.gov/articles/PMC9640370/		fulltext/ju_2022_pmid36382304.xml	mrna_cytokine;gene_editing;lnp_engineering	fulltext_xml
mrna_cytokine	Liu JQ, Zhang C, Zhang X et al.	Intratumoral delivery of IL-12 and IL-27 mRNA using lipid nanoparticles for cancer immunotherapy	Journal of controlled release : official journal of the Controlled Release Society	2022	35301053	10.1016/j.jconrel.2022.03.021	PMC9133152	https://pmc.ncbi.nlm.nih.gov/articles/PMC9133152/			mrna_cytokine;lnp_engineering	metadata_only
mrna_cytokine	Li Y, Su Z, Zhao W et al.	Multifunctional oncolytic nanoparticles deliver self-replicating IL-12 RNA to eliminate established tumors and prime systemic immunity	Nature cancer	2020	34447945	10.1038/s43018-020-0095-6	PMC8386348	https://pmc.ncbi.nlm.nih.gov/articles/PMC8386348/			mrna_cytokine;sarna_replicon	metadata_only
mrna_cytokine	Lai I, Swaminathan S, Baylot V et al.	Lipid nanoparticles that deliver IL-12 messenger RNA suppress tumorigenesis in MYC oncogene-driven hepatocellular carcinoma	Journal for immunotherapy of cancer	2018	30458889	10.1186/s40425-018-0431-x	PMC6247677	https://pmc.ncbi.nlm.nih.gov/articles/PMC6247677/		fulltext/lai_2018_pmid30458889.xml	mrna_cytokine	fulltext_xml
mrna_tf_reprogramming	Duan X, Huang H, Liu S et al.	Reprogramming mRNA Delivery Tropism via Nitrogen-To-Sulfur Substitution in Ionizable Lipids	Advanced materials (Deerfield Beach, Fla.)	2026	41386688	10.1002/adma.202509471		https://doi.org/10.1002/adma.202509471			mrna_tf_reprogramming;lnp_engineering	metadata_only
