,logFC,P.Value,adj.P.Val
ZNF253,1.2558141,6.24E-07,4.25E-04
CCDC42,1.2522632,6.72E-07,4.55E-04
PRMT7,1.1252737,7.63E-07,5.14E-04
PAK6,1.5047219,8.59E-07,5.68E-04
ESRRA,1.1433156,8.94E-07,5.88E-04
PGS1,1.1623088,9.07E-07,5.93E-04
DDX3X,1.1318498,9.45E-07,6.14E-04
SORD,1.5597417,1.05E-06,6.77E-04
ZKSCAN5,1.3960449,1.09E-06,6.94E-04
XAGE5,1.2257609,1.20E-06,7.55E-04
CTSE,1.1876149,1.31E-06,8.22E-04
KIFC2,2.3063807,1.34E-06,8.36E-04
FOXH1,2.3063807,1.34E-06,8.36E-04
ABO,1.1128095,1.39E-06,8.61E-04
RPRD1B,1.4655933,1.43E-06,8.82E-04
TULP2,1.1916724,1.50E-06,9.14E-04
SLC9A1,1.2318267,1.50E-06,9.09E-04
SYNGR1,1.5265292,1.51E-06,9.11E-04
RRN3,1.4780632,1.61E-06,9.66E-04
TUBGCP2,1.5488237,1.73E-06,0.001029353
XIST,1.9251333,1.76E-06,0.001037785
GALM,1.799533,1.90E-06,0.001112065
ERMAP,1.127508,2.12E-06,0.001217774
RNF111,1.391145,2.25E-06,0.001287755
HSPA14,1.1312181,2.36E-06,0.001342573
VPS13B,1.2944257,2.39E-06,0.001356392
SNRK,1.3597296,2.41E-06,0.001358629
AGBL5,1.2279153,2.50E-06,0.00139606
DERL3,1.5780832,2.57E-06,0.001427089
MYO15B,1.557295,3.49E-06,0.001891374
BPHL,1.0744232,3.75E-06,0.002021424
EZH2,1.4198581,3.83E-06,0.002045964
SC65,1.6514423,4.04E-06,0.002146019
STRN3,1.6002291,4.23E-06,0.002228885
FAM63A,2.6927495,4.47E-06,0.002341832
ANXA9,2.6927495,4.47E-06,0.002341832
B4GALNT4,1.5782694,4.51E-06,0.002351919
APAF1,1.3918303,4.78E-06,0.002471305
MDM4,1.3612657,5.81E-06,0.002934235
FAM50A,1.2959443,6.13E-06,0.003080776
C5orf43,1.1941212,6.28E-06,0.00314226
TOR3A,1.2245706,7.38E-06,0.003643408
GOT1L1,1.1230578,7.66E-06,0.003767193
MTMR15,1.6059184,8.34E-06,0.004065343
MTMR10,1.6059184,8.34E-06,0.004065343
TSIX,2.0776663,8.81E-06,0.004254848
PCBP1,1.3917211,8.89E-06,0.004275546
C16orf57,1.1726669,1.06E-05,0.005037235
ZNF185,1.7904806,1.29E-05,0.006017158
FCGR2A,1.3005388,1.33E-05,0.006182642
PKNOX1,1.259454,1.40E-05,0.006461732
NAA15,1.5665704,1.50E-05,0.00693606
LOC145783,1.4746581,1.51E-05,0.006943251
SCGB2A2,1.4135158,1.52E-05,0.006936269
TEKT5,2.329786,1.67E-05,0.007584553
EXOC8,1.2194889,1.69E-05,0.007626592
TMLHE,1.7416389,1.70E-05,0.007654586
LOC541473,1.1442772,1.71E-05,0.007660876
ANKS1B,2.998855,1.83E-05,0.008113364
IRF9,1.380881,2.14E-05,0.00920361
CASP2,1.4033427,2.43E-05,0.010337239
KRT7,2.0255272,2.74E-05,0.011525326
NFASC,1.794567,2.88E-05,0.012075825
KCNIP1,1.2882298,2.93E-05,0.012230514
RCOR2,1.214091,3.22E-05,0.013361846
USP22,1.1398861,3.34E-05,0.013730812
PLA2G2E,1.1600676,3.74E-05,0.015101334
FLJ32756,1.073475,3.78E-05,0.015169079
SELO,1.6169101,3.79E-05,0.015143239
SKAP1,1.4577098,3.92E-05,0.015616564
MAP1S,1.1715794,4.51E-05,0.017776003
WNT3A,1.0462373,4.55E-05,0.017794359
LOC285878,17.49933,4.60E-05,0.017917506
WDR53,1.3927814,4.70E-05,0.018250669
PHKA2,1.1571656,4.71E-05,0.018255329
C5orf22,1.1661487,4.91E-05,0.018872485
NDFIP2,1.2512045,4.94E-05,0.018919245
VPS39,1.4113837,5.16E-05,0.019580951
ZNF84,1.0965872,5.26E-05,0.019875923
TSPAN16,1.1459055,5.27E-05,0.019856809
FLJ44635,1.2855963,5.35E-05,0.019947521
ATP2B2,1.3278924,5.50E-05,0.020451573
EIF5B,1.1492699,5.80E-05,0.021341184
DGKA,2.0283556,5.84E-05,0.021350546
ZNF224,1.1953132,5.88E-05,0.021434334
FBXL18,1.0836282,6.08E-05,0.021780791
RFX4,1.1341206,6.43E-05,0.022697176
MTMR14,1.1454996,6.80E-05,0.023830411
PXN,1.3925502,6.96E-05,0.024319268
ERGIC1,1.4231067,8.89E-05,0.03037972
SNX8,1.0687922,9.23E-05,0.031261083
FAM82A2,1.1899633,9.29E-05,0.031362477
ODF3,1.1537942,9.81E-05,0.032720105
DHRSX,1.338337,9.94E-05,0.033056491
LOC149837,1.5283104,1.05E-04,0.034596376
PRR3,1.1092378,1.06E-04,0.034872572
SNX25,1.5546578,1.08E-04,0.035477376
VIPAR,1.1854701,1.10E-04,0.035862118
SIN3B,1.8074332,1.11E-04,0.036031409
SLC35A2,1.3019072,1.15E-04,0.037188578
SLC9A3,1.4781135,1.15E-04,0.037184541
GPR114,1.4008925,1.27E-04,0.040130786
UCKL1,1.4874858,1.27E-04,0.040073536
ARAF,1.6046928,1.30E-04,0.040858375
MTCH1,1.2869701,1.33E-04,0.041368949
LPCAT3,1.6079793,1.38E-04,0.042810588
ZNF512,1.3136445,1.39E-04,0.043042264
FBXL3,1.2362213,1.47E-04,0.045282397
C1orf105,1.3269535,1.49E-04,0.045632553
TMEM89,1.3292294,1.52E-04,0.046420624
RUNX1,1.3285581,1.55E-04,0.047197526
BAT5,1.6796273,1.64E-04,0.049189692
TTLL3,1.4012434,1.65E-04,0.049324258
PCGF3,1.4937437,1.67E-04,0.049656338
LOC388882,1.083168,1.68E-04,0.04985837
P2RY8,1.0950936,1.75E-04,0.051711713
MIER3,1.359224,1.78E-04,0.052171413
STRA13,1.1474822,1.82E-04,0.053365617
SLC29A3,1.613479,1.83E-04,0.053293766
DIP2A,1.1522472,1.89E-04,0.054596606
EEF1A1P32,1.1356939,1.99E-04,0.057317685
FGF19,1.4377617,2.03E-04,0.058481308
PEX16,1.104489,2.03E-04,0.058363282
SCN10A,1.3618892,2.03E-04,0.058213657
DNTTIP1,1.3430651,2.06E-04,0.058723269
KIAA1147,1.3965547,2.14E-04,0.061057316
POLD2,1.3269179,2.17E-04,0.061624502
FSIP1,5.471497,2.18E-04,0.061795757
SERPINE3,1.1693732,2.20E-04,0.06228232
C14orf102,1.2813468,2.25E-04,0.06323283
FAM119B,1.1531143,2.30E-04,0.06458709
LFNG,1.823453,2.35E-04,0.065561925
MAX,1.2055782,2.35E-04,0.065554316
MYNN,1.1438084,2.41E-04,0.066661135
HMGN2,1.264045,2.47E-04,0.068167414
LOC729505,1.264045,2.47E-04,0.068167414
PRAMEF2,1.156933,2.49E-04,0.068732589
C7orf58,1.323359,2.57E-04,0.070380673
PRPF38A,1.1272241,2.57E-04,0.070311287
MXD3,1.4270289,2.65E-04,0.071907991
FAM65C,1.4913656,2.66E-04,0.071968488
NCF1,1.6912957,2.67E-04,0.072069255
NCF1B,1.6912957,2.67E-04,0.072069255
HSD3B1,1.1283877,2.76E-04,0.074143105
MAPK9,1.1477027,2.83E-04,0.075211177
PPIF,1.1536534,2.83E-04,0.075149265
ARHGAP12,1.1952096,2.94E-04,0.0778325
LOC644063,1.1299438,3.05E-04,0.080074097
PDCD11,1.2567005,3.05E-04,0.079993443
LUC7L2,1.2681448,3.47E-04,0.089651733
LOC391358,1.3894588,3.64E-04,0.09307624
LRPPRC,1.2308041,3.67E-04,0.093854379
RAB37,2.6822333,3.70E-04,0.094355004
ERBB3,1.3630975,3.70E-04,0.09420994
OR9K2,1.0610024,3.71E-04,0.094146718
SSX3,1.5444582,3.73E-04,0.094310828
C3orf27,1.1247466,3.78E-04,0.094975405
ZNF317,1.1500523,3.85E-04,0.096523959
EDC4,1.2686203,3.88E-04,0.096963411
FLAD1,1.1009481,4.05E-04,0.100159088
RBP5,3.8969924,4.39E-04,0.106882427
EFCAB4B,1.3173934,4.39E-04,0.106833171
BRF1,1.1505715,4.45E-04,0.107760004
NRBP1,1.2799541,4.50E-04,0.108720208
DOT1L,1.1084172,4.59E-04,0.110248571
C10orf137,1.1009898,4.63E-04,0.11086018
LOC730091,1.7531629,4.87E-04,0.115954723
RALGPS2,1.2887355,5.02E-04,0.118741979
ZFP41,1.3607004,5.02E-04,0.118531959
RILP,1.4221759,5.04E-04,0.118707794
UBE3A,1.358788,5.22E-04,0.1220909
EIF2C4,1.3498257,5.22E-04,0.121843513
NDUFAF1,1.6228755,5.26E-04,0.122374257
EXD1,1.0579805,5.37E-04,0.124172301
AKR1CL1,1.0975939,5.38E-04,0.124127787
MYO9B,1.3643123,5.47E-04,0.12589051
CAPN13,1.9126862,5.65E-04,0.128739195
GATAD1,1.4230883,5.72E-04,0.129890671
C20orf114,2.2137623,5.87E-04,0.132951775
LOC285741,1.3663654,5.92E-04,0.133732333
MAML1,1.3214674,6.01E-04,0.135465591
YIF1B,1.189731,6.27E-04,0.140431334
MOB2,1.1516703,6.27E-04,0.140298378
HLA-DRA,1.3743625,6.28E-04,0.140097955
GNB2,1.4535748,6.28E-04,0.139950348
MLF2,1.3369187,6.37E-04,0.14120062
CCDC22,1.591929,6.55E-04,0.144445428
HNF4A,1.195644,6.68E-04,0.146369847
EMP2,2.041536,6.78E-04,0.147941093
EIF2AK4,1.5795075,6.79E-04,0.147992484
MRPS14,1.0806704,6.88E-04,0.149131338
LOC645212,1.8407061,6.97E-04,0.15068465
DPY19L1P1,2.0550084,7.29E-04,0.155278571
LRRC3B,1.5890316,7.34E-04,0.155595788
ZMAT1,1.7509619,7.44E-04,0.15756563
MRM1,1.0750196,7.48E-04,0.158001935
CS,1.3792832,7.51E-04,0.158342208
GAS5,1.250212,7.70E-04,0.16117181
PAPLN,1.2599021,7.84E-04,0.163686724
SFRS18,1.2346718,8.00E-04,0.166120174
FAM3A,1.4594712,8.06E-04,0.167031648
SPATA3,1.1108838,8.13E-04,0.167855134
TMEM156,3.0677674,8.16E-04,0.167900443
EPB41,1.1967522,8.23E-04,0.168652148
PRKRIP1,1.2172031,8.23E-04,0.168510694
USP39,1.1469803,8.37E-04,0.169976667
MED4,1.2000067,8.47E-04,0.171770236
PPY2,1.091006,8.54E-04,0.172566474
GFAP,1.2046884,8.57E-04,0.172798321
SSH3,2.0772555,8.63E-04,0.17372452
GLUL,1.2505543,8.63E-04,0.173489322
FLRT3,6.378023,8.81E-04,0.176446449
FAM71C,1.0710266,8.84E-04,0.176769323
ARHGAP39,1.2646669,8.95E-04,0.178512447
LOC729400,1.3068166,9.23E-04,0.183097716
RAD52,1.1894035,9.25E-04,0.183156651
CLK2,1.2578976,9.33E-04,0.184474273
MAP3K12,1.2753723,9.40E-04,0.185560369
TERT,1.3944626,9.53E-04,0.18767384
POLR1A,1.1627462,9.59E-04,0.18800439
ANKFN1,1.1674043,9.90E-04,0.191961327
PBX1,1.6730418,9.92E-04,0.192024126
TSEN54,1.1107237,0.001000652,0.193047687
MRFAP1L1,1.2036489,0.001000679,0.192718227
LOC339290,1.285313,0.001020039,0.195430702
JMJD4,1.3912905,0.00102963,0.196590342
PIK3IP1,1.492677,0.001035899,0.197109904
ZDHHC21,1.1045418,0.001040339,0.19761646
LYPD3,2.3383443,0.001041037,0.19741153
PCGF5,1.094806,0.001043177,0.197480404
ELSPBP1,1.7502475,0.001045415,0.197567377
GFRA4,1.2483624,0.001052757,0.198617123
MCF2L2,1.3672314,0.001054637,0.198634617
SENP3,1.2354672,0.001062288,0.199737113
DDX41,1.1338133,0.00107086,0.201008818
ZNF266,1.9743642,0.001075585,0.201555214
SLC25A39,1.2234102,0.001088279,0.20324843
FAM53B,1.6685079,0.001101186,0.205313972
LOC643659,1.1130468,0.00110381,0.205458353
OTUB1,1.5825224,0.001104293,0.204861989
PQBP1,1.1618792,0.001105108,0.204671608
TEX261,1.2725067,0.0011131,0.205808616
C1GALT1,1.704,0.001122216,0.206463652
LRG1,4.2109146,0.001153921,0.211247402
IMMP2L,1.5916686,0.001166495,0.213198105
ZNF880,1.3819104,0.001190521,0.216520846
TRERF1,1.2948023,0.001200672,0.217654603
TMEM165,1.1892266,0.001203625,0.217834532
PRX,1.4631013,0.001216909,0.219880682
FUS,1.3847194,0.00122162,0.220373561
EGLN2,1.756169,0.001223589,0.220370888
LOC341056,1.4573298,0.001292853,0.232093166
LOC100132247,1.7782247,0.001311027,0.233844729
LOC100132540,1.7782247,0.001311027,0.233844729
DIS3,1.4036486,0.001313146,0.233847368
NFKBIB,1.64759,0.001324835,0.235551416
SETD4,1.4206753,0.001325634,0.235316946
SPG11,1.8889247,0.001351409,0.239128329
SUV420H2,1.4099444,0.001371009,0.241061075
PIN1,1.4167523,0.001383479,0.24286943
PCNT,1.1805378,0.001389262,0.243499874
ZFP106,1.280679,0.00140326,0.245566011
SLTM,1.1807227,0.001425751,0.249109605
MTMR1,1.2667576,0.001437107,0.249524424
CCDC56,1.2146503,0.001466451,0.253826159
LOC652493,1.4317001,0.001494208,0.257427687
IGKC,1.4317001,0.001494208,0.257427687
CNGB1,1.0480027,0.001522471,0.261082627
PPM1B,1.4189526,0.001522681,0.26071625
SLC22A13,1.1764609,0.001528758,0.261354137
