,logFC,P.Value,adj.P.Val
LAT2,1.5252663,0.016056044,0.831405286
DHX29,1.1835182,0.016072405,0.831090698
LOC91316,1.235635,0.016086692,0.831056006
UGT1A8,1.1893011,0.016137667,0.832914996
TCF12,1.2123294,0.016160963,0.833730108
ICK,1.1220944,0.016247839,0.836658279
EYS,1.1251806,0.016250994,0.836433143
HP,1.249323,0.016415642,0.840624624
OR2T33,1.2781725,0.016433899,0.841171906
SNURF,2.0639882,0.016454257,0.841438764
FKBP4,1.4771435,0.016484553,0.842212888
HADHA,1.155296,0.016525845,0.843546831
CBFA2T2,1.6776994,0.016584944,0.845010897
RHOT1,1.2155479,0.016585979,0.844676315
LOC643406,1.2494714,0.016612297,0.845629086
PARVG,1.7205034,0.016619218,0.84559404
ZNF850P,1.157966,0.016706408,0.846155971
SGSM2,2.4030857,0.016812326,0.848426942
DHDDS,1.2482438,0.016824193,0.848640384
FAM131A,1.0341649,0.016884234,0.85051078
PARP10,1.4811497,0.016902059,0.850637469
CYP2D7P1,1.6102656,0.01691941,0.850355305
XKRX,1.9137866,0.016925631,0.849899182
PRLR,1.5146792,0.016938947,0.849416358
TSSK4,1.3477556,0.016953772,0.849776284
NBEAL2,1.7465175,0.016963194,0.849482184
CXorf18,1.2445956,0.017021239,0.850090382
EVL,2.2522178,0.017026736,0.84998294
C21orf37,1.2991611,0.017032753,0.849901483
NUDT22,1.5516869,0.017083508,0.850905734
EXOSC8,1.272001,0.017103189,0.851123023
ARF5,1.2973585,0.017106839,0.850923577
GATA2,1.2962981,0.017122611,0.851327001
GREB1,3.8890626,0.017148778,0.852246701
LOC442421,1.939501,0.017181002,0.853466461
CLEC18A,1.2523108,0.017216849,0.854101733
LOC400931,2.3913498,0.017251082,0.854274508
C17orf68,1.3379489,0.017272519,0.854955093
PPP1R11,1.5458332,0.017309702,0.856032955
FN1,1.4719995,0.017344025,0.85696759
LRRC1,1.3317081,0.017346241,0.856696158
STMN2,1.2758745,0.017353751,0.856305909
ZNF645,1.1166544,0.017405547,0.856959041
ZNF226,1.4962902,0.017413072,0.856949846
BRCA1,1.2416509,0.017416445,0.856736439
IL18,1.5280619,0.017426888,0.85649183
CBX3,1.1163979,0.017430809,0.855927421
ASB13,1.4383788,0.017448679,0.855670596
SYTL1,2.1650288,0.017496157,0.855733031
PLCXD2,1.5349643,0.017496371,0.855367
CWF19L1,1.3321185,0.017507311,0.855525494
LOC390282,1.2021518,0.017564617,0.856067071
BMP15,1.1800852,0.017589501,0.855778532
EBF4,1.2758902,0.017609175,0.85561187
HYAL1,1.1532289,0.017610084,0.855282085
RALGDS,1.2343973,0.017619015,0.855341991
SPAG11B,1.2808748,0.017702169,0.856758746
C15orf21,1.3536214,0.017719217,0.857210512
LOC100131434,1.3643072,0.01772637,0.857183396
ZNF335,1.2480896,0.017728499,0.856913435
MYB,1.9482497,0.017781184,0.857222774
PRKAG1,2.0004697,0.017809833,0.857859606
ZNF703,1.2748762,0.017827286,0.858328227
CDK10,1.4700891,0.01787106,0.859318799
C19orf21,2.2178493,0.017903594,0.859767098
SLC2A4RG,1.7705059,0.0179521,0.860237676
ZNF76,1.5800999,0.018016523,0.86295263
APBB1,1.1873577,0.018031304,0.863288498
HNRNPL,1.4291846,0.018048463,0.862994557
CPB2,3.3725407,0.018082093,0.864230731
RB1,1.5886544,0.018118758,0.865238819
ARSA,1.3084666,0.018119245,0.864890418
RPAP3,1.3268732,0.018209219,0.867322366
POP7,1.1078686,0.018252398,0.868634351
TMEM9B,1.1931849,0.018345714,0.87232808
IGHV3-23,1.7802689,0.018365106,0.872876697
SNX32,1.5557107,0.018380803,0.873249224
TSSC4,1.0924056,0.018393938,0.873499812
KRTAP4-5,1.1292642,0.018414491,0.874102297
NXF2,1.2406672,0.018429369,0.874061796
NXF2B,1.2406672,0.018429369,0.874061796
URGCP,1.5711858,0.01843384,0.873900861
CUTA,1.1750746,0.018458002,0.874300324
KCNT1,1.3724003,0.018518199,0.876031407
ILK,1.5371518,0.018565724,0.876414151
CHTF8,1.2009754,0.018616627,0.877326296
AATF,1.0749372,0.01868581,0.880213324
TRMT112,1.3868117,0.018698142,0.880048129
C9orf139,1.3874296,0.018743269,0.880307789
TMOD3,1.300356,0.018768731,0.880387376
GTPBP6,1.6447277,0.018779052,0.88049984
TMED4,1.4120382,0.018805583,0.880629093
ZNF384,1.1880331,0.018854756,0.881816961
KCNA7,1.2309995,0.018865576,0.881210324
PLA2G10,4.3617578,0.018909037,0.882869298
EIF5AL1,1.5181972,0.018923837,0.88318922
MTMR9L,1.9131353,0.01894868,0.883606427
IQSEC1,1.2097056,0.018974658,0.883705319
VCX3A,24.611998,0.018982532,0.882961865
KRT18,2.1716194,0.019023828,0.883034612
TCIRG1,2.2418244,0.01903782,0.88221005
CYFIP2,1.8273731,0.019065795,0.882770121
EXOG,1.2410678,0.019081994,0.883152202
GBAS,1.3448417,0.019102976,0.883387421
AVPR2,1.2893391,0.019145081,0.884230584
SERPINB13,1.4954765,0.019147442,0.883972254
VCX,24.853401,0.01916193,0.883173425
ZNF251,1.6941991,0.019168976,0.883131875
PDE11A,1.2588187,0.01919083,0.883406223
FAR1,1.7584608,0.019198497,0.88339321
DLL1,1.1945283,0.019203438,0.883254837
TMIE,1.1164423,0.019204277,0.882927977
TMC6,1.4955797,0.019230605,0.883407402
BCOR,1.9668006,0.019254015,0.883022674
ACRV1,1.1346782,0.019272473,0.883504544
GSTA4,2.614553,0.019272624,0.883147121
GRSF1,1.1783891,0.019284416,0.882959264
C17orf44,2.6810393,0.019286543,0.882692962
GPR3,1.3518527,0.019310694,0.883434418
C7orf47,1.4232748,0.019358275,0.884155213
IMPDH1,1.5896261,0.019368633,0.884264844
LDHAL6A,1.4547764,0.019379771,0.884046903
BAT1,1.4572018,0.019461364,0.886313577
VEZF1,1.2807369,0.019490592,0.88691772
GSG1,1.2103511,0.019514668,0.887286592
GAPT,1.9208516,0.019522568,0.887282734
P2RX1,1.1585227,0.019534024,0.887440431
KRTAP1-1,1.2484636,0.019546634,0.887650452
LOC727982,1.1326603,0.019559017,0.887487385
MGST2,1.8770744,0.019581378,0.888139372
RPL10,1.9877237,0.019604115,0.888445385
RAB11A,1.8157306,0.019612486,0.888462408
G2E3,1.3691245,0.019654509,0.889278487
C11orf17,1.1804684,0.019670925,0.889297088
BOLL,1.4015918,0.019672678,0.88901466
VENTX,1.1586885,0.019680492,0.888284049
LOC100131053,1.5376832,0.019682576,0.888017409
NPEPPS,1.2131231,0.019742042,0.888895828
ZNF75D,1.5219034,0.019775602,0.888966098
FAM84B,1.4468044,0.019802787,0.889468535
TOMM6,1.3847789,0.019875558,0.891655904
ZNF318,1.4700168,0.019910675,0.891791176
FRAT1,1.8470817,0.01991239,0.891508684
VARS2,1.7601252,0.019915257,0.891277935
METRN,3.1628282,0.01995495,0.891976651
MOSC2,2.1179547,0.019963184,0.891985895
PRR10,1.1716653,0.01997869,0.892319922
C17orf87,2.3118775,0.019979354,0.891991064
OSBPL1A,1.136286,0.019996806,0.892411682
NECAB2,1.2170849,0.020045919,0.893168679
SYBU,2.2624218,0.020133245,0.89562315
C11orf66,1.76913,0.020138971,0.895519368
KIAA1984,1.7765583,0.020151273,0.895707982
DOCK6,1.5302562,0.020154669,0.895500704
IL21,1.2724361,0.020156736,0.8952346
TDH,1.350716,0.020170053,0.895468139
TPTE2P3,2.5176914,0.020371272,0.900444238
TPTE2P2,2.5176914,0.020371272,0.900444238
ABCB9,1.5308508,0.02039618,0.900828577
OGFOD2,1.5308508,0.02039618,0.900828577
TOX4,1.2021114,0.020413255,0.900866613
VCX2,23.534897,0.020448476,0.901347091
ATP7B,2.369904,0.020479627,0.901647202
XBP1,2.1467779,0.020506151,0.902100158
RPS26,1.8569701,0.020585391,0.90308344
RBMXL3,1.0598731,0.020675686,0.904901239
KLHL28,1.2613314,0.020690193,0.905179662
NCRNA00183,1.212654,0.020716173,0.904891225
FTSJD2,1.403142,0.020736746,0.904722957
KIAA0040,1.3909087,0.020794813,0.905833812
NUDCD3,1.3620058,0.020830598,0.905972046
ATG2A,1.5121069,0.020856445,0.906741304
PCID2,1.5800371,0.020902812,0.906982898
ICT1,1.1632714,0.020914979,0.907156615
PIGC,1.1881838,0.020941053,0.907579014
FN3KRP,1.2934817,0.020950323,0.907626805
SFRS6,1.3418943,0.020961462,0.907755455
CRX,1.3656979,0.020973103,0.907905787
DRD3,1.1027198,0.020994264,0.907055059
FAM71D,1.2562954,0.021066481,0.90911478
C7orf23,1.2650555,0.021128576,0.909674847
TAF7L,1.0456672,0.021167512,0.910293111
ECE1,1.3292447,0.021248108,0.910938848
TMEM187,1.1866896,0.021261255,0.910799728
FIP1L1,1.3367614,0.021301948,0.911488803
MICB,2.5949216,0.021324715,0.911410133
PRMT6,2.0530078,0.021355958,0.911693469
CCDC72,1.6756054,0.021363718,0.911674531
SNHG11,1.6498828,0.02136478,0.911369825
SNORA60,1.6498828,0.02136478,0.911369825
DPP8,1.3248146,0.021412452,0.91130443
DUSP9,1.3092109,0.021429366,0.911675139
NS3BP,1.2330201,0.021457151,0.911113114
CNTNAP5,1.4030635,0.021462217,0.910980124
ZNF41,1.2263176,0.021486013,0.910598869
GPR82,1.3392892,0.021520579,0.911021445
PAK2,1.6853588,0.021523938,0.910816662
IFT122,1.9287912,0.021527177,0.910606948
P2RX5,1.1445302,0.021591597,0.911943399
ANKRD16,1.4213555,0.021592974,0.911655028
PLD5,2.6637995,0.021629599,0.911815617
ABCF3,1.3283983,0.021641676,0.910942428
KIAA0495,1.4114728,0.021664793,0.910535832
PARD6A,1.4577641,0.021751326,0.91313662
LOC645961,1.3977996,0.021762285,0.913251658
RSL1D1,1.2861075,0.021782991,0.913430682
CCDC9,1.1735384,0.021819768,0.913938198
BAI1,3.7745402,0.021874963,0.915904852
DUSP7,1.0927134,0.021900133,0.915923411
C20orf151,1.5619942,0.021971357,0.916143756
USE1,1.37104,0.022003101,0.917123233
NEAT1,2.2926333,0.022021543,0.91720388
C22orf25,1.5947126,0.022051278,0.917754376
ZNF479,1.4155842,0.0221298,0.918271029
LOC643955,1.4155842,0.0221298,0.918271029
PTH,1.289982,0.022164267,0.919014866
LRRC68,1.7385429,0.022203395,0.919607832
BZRAP1,1.6267666,0.02222074,0.919640709
UNC119,1.220411,0.022224997,0.919474447
HOXC10,2.644522,0.022239553,0.919050133
NBN,1.4272162,0.022249547,0.918438491
DNASE1L2,2.846322,0.022253484,0.918259899
PGP,2.2769473,0.022268735,0.918207301
RHOA,1.2089727,0.022290474,0.918422072
TNF,1.5347987,0.02232643,0.918881431
C1orf198,1.1961302,0.022330941,0.918386829
HSPBP1,1.2523187,0.022365224,0.918776649
ACAP3,1.4389116,0.022386048,0.918274189
HDAC6,1.2317656,0.022430521,0.919080662
CARKD,1.5867578,0.022554668,0.921449413
POTEKP,2.656885,0.022558216,0.921255649
CLK1,1.598753,0.022625348,0.921964264
LSM4,1.510247,0.022638092,0.921807525
ATXN7L1,1.3144828,0.022646639,0.921480229
CACNG3,1.3057492,0.02275113,0.923028041
C10orf28,1.2333009,0.022769475,0.92309828
TRIM52,1.586385,0.022772873,0.922899348
ATXN7L3,1.3928553,0.022784377,0.923028915
LOC149134,1.8135161,0.022834966,0.92406769
TCP10L,1.2557274,0.02285308,0.924127675
SFRS13A,1.6154337,0.022946605,0.925551957
KRT8,2.4997964,0.022988766,0.925908185
C9orf86,1.4019542,0.023000251,0.925364534
ZNF767,1.6723639,0.023091036,0.927338339
RGS14,1.783071,0.023104687,0.927551348
PLA2G4F,1.5927546,0.023151624,0.926757164
CYTIP,2.309712,0.023179366,0.927533567
MOSPD3,1.4518638,0.02320653,0.927952239
ST6GALNAC4,1.8655094,0.023251004,0.927727599
CORO1B,2.0640829,0.023285365,0.927766094
LIME1,1.4146862,0.023320644,0.926845472
KRTAP4-8,1.3386053,0.023343952,0.926446424
LOC729973,1.6116904,0.023369262,0.926788913
RNPEPL1,1.3635757,0.02338133,0.926606109
LOC339316,1.215789,0.023411999,0.926829919
ZNF828,1.9202417,0.023436829,0.925504878
CAPN10,1.4740963,0.023443842,0.925452947
CSNK1D,1.2053723,0.023458233,0.925692181
C14orf48,1.2575908,0.023459933,0.925430667
LOC100132977,2.6883867,0.023461688,0.924843256
C13orf16,1.2263259,0.023472096,0.92492544
KRT19,1.8117288,0.023500281,0.925051994
NT5C,1.3659441,0.023505046,0.924911916
PCIF1,1.8452605,0.023522605,0.924947775
CD1C,2.873556,0.023534949,0.924778697
DCAF11,1.4782755,0.023545903,0.924882078
ZNF700,1.6362457,0.023552497,0.92481416
ARFIP1,1.3705386,0.023558025,0.924704483
PTPN14,2.2057714,0.023572559,0.924948264
STARD10,1.9601133,0.023577382,0.924810957
DHRS12,2.0307884,0.023599239,0.925341651
RPL14,1.1739061,0.023681572,0.927261227
C1orf129,1.4163499,0.023730793,0.928207286
KCNH2,1.4903654,0.023822,0.928832319
AFF3,1.741949,0.023824726,0.928287176
ZSCAN12,1.1210365,0.023863882,0.929161217
IVD,2.0731494,0.023876167,0.928988559
MED29,1.4039361,0.023927511,0.92903451
SNX17,1.7045918,0.023968893,0.928694312
MRPL34,1.3001014,0.023987566,0.928770157
LOC440895,1.5698445,0.024032427,0.929212028
DNASE1,1.5056666,0.02403707,0.929068302
EIF1AD,1.2499247,0.024046738,0.929118797
STAT6,1.2848573,0.024052097,0.929002836
DRD2,1.6716435,0.024052415,0.928692326
DEF6,1.6647657,0.024058265,0.928273114
SPSB2,1.3502096,0.024071079,0.927801091
PLCB2,1.3763798,0.024097466,0.928174234
RXRA,1.5054171,0.024175663,0.928932314
C1orf77,1.1619471,0.024195835,0.929064899
EIF2S3,1.3863627,0.024231144,0.929136449
KBTBD4,1.3833861,0.024242131,0.928916668
CD3E,1.2462854,0.024242471,0.928609478
EXOC1,1.3132508,0.024258007,0.928564409
MAN2B2,1.1764804,0.024278844,0.928083239
G6PD,1.3433373,0.024306315,0.927538005
ZFR2,1.3091655,0.024317515,0.927328502
BCL2L1,1.4820863,0.024331042,0.927526044
C19orf42,1.2134148,0.024364417,0.928479795
TMX3,1.2884482,0.024398652,0.928828846
OCEL1,2.410062,0.024404223,0.928404807
PRSS33,1.3277744,0.024431199,0.928795123
GMEB2,1.2750453,0.024444962,0.929000506
LOC653340,1.5958291,0.02445285,0.928665103
LOC100134822,1.5958291,0.02445285,0.928665103
ZNF263,1.5379193,0.024461981,0.928694483
NOM1,1.4656794,0.024466569,0.928234405
IGLL1,1.5957271,0.024494329,0.928653469
EAPP,1.4598337,0.024521484,0.92904907
PRKAR1B,1.2794102,0.024556011,0.929406545
GGN,1.3579268,0.024584142,0.929837859
PLBD1,1.7976257,0.024613117,0.930300468
SLC26A6,1.3435222,0.02461844,0.930185265
PQLC3,1.2898604,0.024656821,0.930686116
MUS81,1.4413216,0.024664019,0.930325781
POTEF,1.8469921,0.024665612,0.93007019
POTEE,1.8469921,0.024665612,0.93007019
LIF,1.3752325,0.024718444,0.93111446
DOM3Z,1.5890701,0.024740422,0.931310947
MLPH,2.2900789,0.02474374,0.931120417
LDLRAP1,1.3280734,0.024753607,0.930546379
TMEM75,1.2018633,0.024802168,0.931426583
OR1J1,1.1528469,0.024828533,0.931157967
PRKAR2A,1.1063521,0.024830275,0.930909143
C20orf79,1.1539273,0.024890933,0.931925579
TRAFD1,1.3467447,0.024930559,0.932152934
SERHL,1.4517021,0.024941039,0.932231116
RRP7B,1.4517021,0.024941039,0.932231116
KCNN1,1.3641797,0.024983199,0.932865604
ING5,1.074453,0.024986747,0.932684665
ATP9B,1.87167,0.024989468,0.932160008
CIDEB,1.6292392,0.02500984,0.931044719
C14orf21,1.6292392,0.02500984,0.931044719
GSPT1,1.5112896,0.025011809,0.930806164
KIAA0182,1.2768272,0.025019466,0.930779422
TEAD2,1.854368,0.025022016,0.930562743
KIAA1467,1.9252082,0.025025979,0.930398737
C6orf141,4.4708595,0.025068067,0.930096436
ELP4,1.1457033,0.025074155,0.929701484
RPS6KL1,1.4677682,0.025088821,0.929624882
UFSP1,1.2481397,0.025166529,0.931882759
SRRT,1.2481397,0.025166529,0.931882759
SLC39A3,1.2883126,0.025192668,0.931919071
GDF2,1.147092,0.025197767,0.931797476
OR1A1,1.3521949,0.025252475,0.931650332
SLC23A3,1.3580241,0.025280798,0.932385683
PIGX,1.4855069,0.025344539,0.933497257
GLTPD2,1.0577167,0.025359633,0.933434414
LOC284014,1.0577167,0.025359633,0.933434414
GRIPAP1,1.2930368,0.025381795,0.933631653
MAPKBP1,1.3005276,0.025403329,0.933496749
ALDH3B1,1.8203253,0.025425701,0.933701312
ARHGEF7,1.9579686,0.025462023,0.934417565
PPP2R5B,1.1456485,0.025552836,0.93682209
ZNF323,1.4668697,0.025602438,0.938021671
OSBPL5,1.1017497,0.025607552,0.937899798
VPS25,1.3749712,0.025636466,0.93803127
TSPAN17,1.4103025,0.025639829,0.937845513
ZNF341,1.343426,0.025699487,0.937251082
MTMR12,1.2988485,0.025732155,0.937826919
ACRC,1.6363168,0.025741375,0.937855358
NGLY1,1.1628242,0.02583691,0.938873433
P2RX3,1.1042695,0.025855815,0.939253273
UNC13D,1.1569206,0.025862435,0.939186718
C6orf100,3.1784558,0.025869888,0.93915047
LOC653269,2.0387836,0.025883059,0.939321749
LOC653781,2.0387836,0.025883059,0.939321749
RBM39,1.5757917,0.025888615,0.939216653
HMGB1,1.0622246,0.025912841,0.93948209
TAZ,1.6122009,0.0259856,0.941198769
TCEA1,1.5249236,0.026006548,0.940730995
PIGG,1.077596,0.026152443,0.944164382
SFRS5,1.4083605,0.026171329,0.944232674
NPHS2,1.7560757,0.026178905,0.943893085
WWP1,1.7524462,0.026217481,0.944364731
AGFG2,1.4694359,0.026306191,0.94725303
1-Sep,2.2283976,0.026335533,0.948002422
TDRD3,1.4290628,0.0263409,0.947888563
ZNF182,1.4356005,0.026392979,0.948227296
TMEM102,1.1644117,0.026401089,0.947905736
PPM1J,1.6643742,0.026406581,0.947796665
ALDH16A1,1.3214611,0.026437834,0.94769402
LOC442249,2.2588372,0.026442853,0.947568248
WDFY2,1.2419462,0.026449168,0.947488992
UBQLN4,1.2282066,0.026537369,0.94850823
DLEC1,1.6052059,0.026549927,0.948347009
ZNF589,1.382987,0.026583538,0.947719743
RNASE6,1.2870064,0.026624195,0.947952722
SNORA70,1.7387313,0.026656131,0.948481973
XPC,1.2963352,0.026662969,0.948421603
NAF1,1.2774445,0.026674411,0.948524995
TSPY4,1.2339529,0.026695327,0.948358311
TSPY1,1.2339529,0.026695327,0.948358311
FBXO41,1.6473835,0.026697889,0.948146206
IRF2,1.3003314,0.026714664,0.948438843
LOC100132014,1.3021051,0.026793485,0.947604213
CD151,1.6832515,0.02680936,0.947562509
KCNK16,1.1590264,0.026876451,0.947823518
LOC168474,1.6968442,0.026909974,0.948403769
ZSWIM3,1.3975765,0.02691101,0.948139548
CSPG4PY1,1.2117666,0.026919989,0.948155284
CSPG4PY2,1.2117666,0.026919989,0.948155284
ALX4,1.188466,0.02693093,0.94793974
TBCB,1.2798777,0.02694485,0.946929977
PPM1N,1.2474576,0.026978591,0.947816001
FAM113B,1.7450444,0.026985775,0.947768743
MLXIP,1.0808085,0.027024493,0.947930158
FAM125A,1.3577374,0.027046808,0.94781535
UPK3A,2.311136,0.02708064,0.948103951
CTTN,2.8866293,0.027098302,0.948124891
LOC388387,1.1147033,0.027103815,0.948019282
CDC42,1.3691882,0.027113108,0.947747698
SAT2,1.0910597,0.027183582,0.94931526
KIAA0562,1.4850314,0.027226935,0.949933672
LYNX1,2.9249523,0.027245597,0.948797406
S100A14,1.4776456,0.027259144,0.948674556
ALG5,1.340794,0.02727762,0.948129801
DHFR,1.1572288,0.027289303,0.948239295
CTCF,1.1435436,0.027296887,0.948206305
C1orf145,1.2574713,0.027313229,0.948181178
C7orf43,1.4732277,0.027326666,0.948055286
HAUS7,1.148027,0.027337634,0.947843961
FGF21,1.1276592,0.02739187,0.947949781
LOC100132363,1.3387237,0.027405682,0.947542494
C4B,1.6916202,0.027425673,0.947349397
C4A,1.6916202,0.027425673,0.947349397
CYP4F11,5.482542,0.027554876,0.947101919
SPTY2D1,1.5333529,0.027585817,0.947286378
ARHGAP27,1.2763886,0.027641236,0.948603163
DDAH2,1.2640398,0.027647985,0.948541833
ARRDC2,1.5152347,0.027657571,0.948577849
MBTD1,1.0853261,0.027662174,0.94815045
AHNAK,1.3840038,0.027693703,0.948061402
ITFG2,1.2766538,0.027742907,0.947993552
COPE,1.3855152,0.027780322,0.948688591
C14orf181,1.4792188,0.027795609,0.948336337
KIAA1468,1.2775862,0.027841505,0.949028084
FADD,3.1039865,0.027855296,0.948916037
ING4,1.4327514,0.027913624,0.949157169
KIAA0232,1.363816,0.028011642,0.949584426
DPF3,1.1402553,0.028024627,0.949734855
HSD17B10,1.1811559,0.028065632,0.950544706
LRRC9,1.2580353,0.028121922,0.951291436
C17orf88,1.4860941,0.028123229,0.950756778
BRE,1.2993284,0.028125052,0.950529232
LRRN2,2.7645998,0.028127389,0.950030346
JUP,1.4755312,0.028128435,0.949777007
AKAP11,1.3963525,0.028149569,0.950201865
FAM158A,1.7646289,0.028212127,0.951157837
NAPB,1.1227597,0.028272341,0.952321103
ZNF212,1.2534794,0.028296795,0.952855977
NUDT9,1.1067603,0.028327323,0.953595006
CCDC74B,2.8635786,0.028329438,0.953377387
LRRC29,1.2613212,0.028406984,0.954541671
ANKS4B,1.4034938,0.028425332,0.954580886
OR1L4,1.1029572,0.028427101,0.95406364
LOC642943,1.3186941,0.028482334,0.954475992
CDK5,1.435798,0.028486617,0.954331743
SELL,1.782238,0.028493806,0.95428488
SFRS16,1.9284247,0.028509034,0.954507208
CARD14,1.8932171,0.02851516,0.954424725
C9orf45,2.461163,0.028574857,0.955271925
C8orf73,1.1423303,0.028593119,0.955020472
AKR7A2,1.7483665,0.028595764,0.954821849
C19orf6,1.1630771,0.028618064,0.954992521
GRIN3B,1.1630771,0.028618064,0.954992521
CROCC,1.4207941,0.028633561,0.954936123
GAMT,1.7682331,0.028685069,0.955506884
OR12D2,1.3614482,0.028688037,0.955319358
AP1AR,1.5440953,0.028695979,0.955011473
ACADS,2.074489,0.028706729,0.954511628
NUP210,1.4897015,0.028716346,0.954545759
NANOS3,1.2699796,0.02873697,0.954660173
ANO10,1.4428313,0.028743244,0.954583229
FAM200A,1.2509029,0.028746736,0.954413978
YPEL5,1.1809447,0.028793545,0.954542101
PAX8,1.0775357,0.028794378,0.954285014
DNAJC5,1.268982,0.028795685,0.954043813
VIPR1,1.5772082,0.028817924,0.953927369
CPSF1,1.5609869,0.028837948,0.954021818
MALAT1,1.3925416,0.028855443,0.954316495
BLVRB,1.6709139,0.028855868,0.954046612
CYP4A11,1.2156918,0.028875603,0.954131321
HPX,1.9579681,0.028939167,0.955663322
LOC220077,1.7135788,0.028967335,0.955741452
NADK,1.6112713,0.02898401,0.955440577
C7orf53,1.6057799,0.028984894,0.955186365
NICN1,1.8759122,0.029005409,0.955295809
RRN3P3,1.1006892,0.029022838,0.95530357
RRN3P1,1.1006892,0.029022838,0.95530357
CAPN12,1.7357835,0.029031684,0.955311753
GTF2H4,1.3626428,0.029044515,0.955168293
ORAOV1,2.2545035,0.029045606,0.954639108
C22orf29,1.1432909,0.029051226,0.954259343
MEN1,1.4177121,0.029065369,0.954159821
GMPPB,2.0519438,0.029143957,0.955328599
CASP4,2.2167046,0.029151425,0.955009956
OGT,1.1225857,0.029173751,0.955459696
ATP5SL,1.4006915,0.029184371,0.955244425
HOOK1,1.4706901,0.029222298,0.955641389
OR4E2,1.1594883,0.029232669,0.955699297
EGFL8,1.286756,0.029262532,0.956113007
PPT2,1.286756,0.029262532,0.956113007
FZD3,1.118404,0.029268503,0.956026997
LOC100133053,1.3782053,0.029306281,0.956698551
CXorf51,1.3782053,0.029306281,0.956698551
TPTE,1.9471554,0.029342805,0.957328395
LOC100128295,1.1946883,0.029416484,0.958606426
MYST3,1.5552073,0.029474633,0.959095055
RAB40C,1.6912078,0.029477721,0.958914753
GRINL1A,1.5437399,0.029508484,0.959634549
GCOM1,1.5437399,0.029508484,0.959634549
ANKLE1,1.0795727,0.029536563,0.95942457
TFE3,1.1374977,0.02958355,0.958988586
EIF4G2,1.1749392,0.02964334,0.959527202
DCAF5,1.3153063,0.029645261,0.959309935
DPY19L2P2,1.1419661,0.0296543,0.959323086
SLC25A42,1.1997241,0.02968828,0.95986347
CCND1,2.1264567,0.029694867,0.959797178
ZNF790,1.3220441,0.029752916,0.960555855
PLD4,2.1928353,0.029777306,0.959948829
PA2G4,1.3900731,0.029778849,0.959720139
SLC19A2,3.403203,0.029786424,0.959685949
NHLRC3,1.6509161,0.029791005,0.95927727
ZC3HC1,1.0550624,0.029796263,0.958890844
MRPL21,1.9781595,0.029805991,0.958926214
SPATA5L1,1.5706171,0.02981268,0.958863813
LOC644662,1.2119516,0.029826646,0.959035424
GABBR1,1.5607892,0.029852005,0.959018318
PSMD8,1.3486884,0.029924013,0.959666981
PLSCR2,1.488145,0.029941444,0.959672068
METTL7A,1.365195,0.029955964,0.959583906
MFSD2A,1.1188613,0.030001396,0.960208848
LPP,1.2973721,0.030004303,0.96002538
VPS29,1.2989166,0.030008488,0.959606669
PSME3,1.4374957,0.03003606,0.959659889
MUC8,1.137249,0.030063408,0.959154791
STRADA,1.2045653,0.030068742,0.959049595
NEURL,2.9747207,0.030114022,0.959667455
PPP1R9B,1.1389078,0.030199054,0.961274554
SYNJ1,1.1569446,0.030253116,0.962719655
ZNF738,1.8907048,0.030255856,0.962531186
C10orf75,1.5508423,0.030299816,0.963653827
ZNF493,1.5080587,0.030301918,0.96344493
PCCA,1.3885694,0.030345719,0.964285783
C1orf156,1.620841,0.030393811,0.964159711
PSME1,1.3303268,0.030403595,0.963919727
PTCD3,1.2927783,0.030413423,0.963681453
AGXT2L2,1.6683302,0.030413741,0.963416817
DCUN1D2,1.2924112,0.030428467,0.963608576
SPG7,1.1229291,0.030444464,0.963840508
CST5,1.8969903,0.030444669,0.963572471
ZNF100,1.6948555,0.03045045,0.963481021
SCAND2,1.3572719,0.030464101,0.963638567
DOCK9,1.5614928,0.030477512,0.963788444
RCOR3,1.6926771,0.030574892,0.964124226
WASF2,1.3023088,0.030633951,0.965164885
HSPB9,3.3373811,0.030671657,0.965258139
CCDC111,1.5562658,0.030699804,0.965050738
MFSD5,1.4678454,0.030716585,0.965305159
LOC644422,1.4514843,0.030756555,0.966014891
PTCHD2,1.3112437,0.030759465,0.965833302
TSPYL1,1.5433694,0.030782009,0.966268124
ALG11,1.4053196,0.030785291,0.966098249
FOXA1,2.5529702,0.030859919,0.965985002
CTNNA1,1.2146505,0.030869808,0.965750486
PRSS21,1.4966873,0.0308794,0.965506919
PHF15,1.2954854,0.030900119,0.965339881
TNFRSF14,1.5682036,0.030925009,0.96557454
INO80,1.430724,0.030941667,0.965823288
GTF3C2,1.2798811,0.030985535,0.966378214
GALK1,1.1139119,0.030995299,0.966411493
MYEOV2,1.2988938,0.031005124,0.966446689
AAGAB,1.4879923,0.031011988,0.966389542
EVPLL,2.9094715,0.031019047,0.966338522
PEX1,1.3684385,0.031045519,0.965809422
UBE2O,1.1867,0.031063463,0.965826866
GLIPR1,1.1074005,0.031077501,0.965722923
KRR1,1.1074005,0.031077501,0.965722923
ADAM11,1.2365947,0.03112262,0.96604438
NR2F6,2.0585954,0.031122959,0.965785131
ZNF853,2.5149333,0.031163625,0.966507247
PPIH,1.4679759,0.03116537,0.96629168
COL4A3BP,1.1644651,0.031224722,0.967322227
TRIB3,1.1248418,0.031233264,0.967317152
ARID5B,1.0749823,0.031237994,0.966924673
