,logFC,P.Value,adj.P.Val
LRRC47,1.1711639,1.38E-13,2.78E-10
LRRC3B,1.5890316,7.34E-04,0.155595788
LRRC27,1.5292345,0.003200234,0.410646247
LRRC23,1.2825828,0.003614331,0.442817354
LRRC61,1.5287625,0.005997509,0.584102726
LRRTM4,1.2027805,0.006837676,0.61474355
LRRC56,1.9716979,0.010036604,0.708575293
LRRC1,1.3317081,0.017346241,0.856696158
LRRC68,1.7385429,0.022203395,0.919607832
LRRC9,1.2580353,0.028121922,0.951291436
LRRN2,2.7645998,0.028127389,0.950030346
LRRC29,1.2613212,0.028406984,0.954541671
LRRFIP1,1.326251,0.044586096,1.018614457
LRRC8A,-2.0999308,3.27E-06,0.001624467
LRRC58,-1.0889225,0.001915811,0.243582022
LRRN4CL,-3.37647,0.002068239,0.254517047
LRRC8B,-1.3550057,0.002389283,0.275134034
LRRIQ1,-3.2276566,0.005823867,0.445093204
LRRTM2,-1.133418,0.009147507,0.5404032
LRRC34,-3.3704286,0.012647636,0.608680509
LRRN1,-6.1321726,0.01984763,0.701057916
LRRN4,-1.1184127,0.037197409,0.785386216
LRRC37A4,-1.6499816,0.039910482,0.789984422
LRRC40,-1.2985698,0.0436758,0.799832878
LRRC4,-2.7970445,0.049902551,0.808355864
