category	evidence	authors	title	venue	year	pmid	doi	pmcid	url	local_pdf	fulltext_xml	topics	status
radiosensitization	preclinical_synergy	Xu et al.	Study on combination therapy for lung cancer through pemetrexed-loaded mesoporous polydopamine nanoparticles.	Journal of biomedical materials research. Part A	2023	36479812	10.1002/jbm.a.37436	PMC10087741	https://doi.org/10.1002/jbm.a.37436		xu_2023_pmid36479812.xml	pemetrexed;radiosensitization;nsclc;preclinical	fulltext_xml
radiosensitization	preclinical_synergy	Wang et al.	Decitabine Sensitizes the Radioresistant Lung Adenocarcinoma to Pemetrexed Through Upregulation of Folate Receptor Alpha.	Frontiers in oncology	2021	34079760	10.3389/fonc.2021.668798	PMC8165306	https://doi.org/10.3389/fonc.2021.668798		wang_2021_pmid34079760.xml	pemetrexed;folate_pathway;radiosensitization;nsclc;preclinical;resistance	fulltext_xml
radiosensitization	clinical_landmark	Noronha et al.	Practice Patterns and Outcomes for Pemetrexed Plus Platinum Doublet as Neoadjuvant Chemotherapy in Adenocarcinomas of Lung: Looking Beyond the Usual Paradigm.	Clinical oncology (Royal College of Radiologists (Great Britain))	2018	29239731	10.1016/j.clon.2017.11.001		https://doi.org/10.1016/j.clon.2017.11.001			pemetrexed;radiosensitization;nsclc	metadata_only
radiosensitization	clinical_landmark	Girard et al.	Systemic treatment for thymic malignancies.	Current opinion in oncology	2017	28027106	10.1097/CCO.0000000000000355		https://doi.org/10.1097/CCO.0000000000000355			pemetrexed;carboplatin;radiosensitization;clinical_trial	metadata_only
radiosensitization	preclinical_synergy	Kuryk et al.	Synergistic anti-tumor efficacy of immunogenic adenovirus ONCOS-102 (Ad5/3-D24-GM-CSF) and standard of care chemotherapy in preclinical mesothelioma model.	International journal of cancer	2016	27287512	10.1002/ijc.30228		https://doi.org/10.1002/ijc.30228			pemetrexed;cisplatin;carboplatin;radiosensitization;mesothelioma;clinical_trial;preclinical	metadata_only
radiosensitization	preclinical_synergy	Choy et al.	Concurrent pemetrexed and radiation therapy in the treatment of patients with inoperable stage III non-small cell lung cancer: a systematic review of completed and ongoing studies.	Lung cancer (Amsterdam, Netherlands)	2015	25650301	10.1016/j.lungcan.2014.12.003		https://doi.org/10.1016/j.lungcan.2014.12.003			pemetrexed;cisplatin;carboplatin;radiosensitization;nsclc;clinical_trial;preclinical	metadata_only
radiosensitization	clinical_landmark	Zhang et al.	Full-dose pemetrexed plus cisplatin combined with concurrent thoracic radiotherapy for previously untreated advanced nonsquamous non-small cell lung cancer.	Anti-cancer drugs	2015	25646743	10.1097/CAD.0000000000000215		https://doi.org/10.1097/CAD.0000000000000215			pemetrexed;cisplatin;radiosensitization;nsclc	metadata_only
radiosensitization	clinical_landmark	Giladi et al.	Alternating electric fields (tumor-treating fields therapy) can improve chemotherapy treatment efficacy in non-small cell lung cancer both in vitro and in vivo.	Seminars in oncology	2014	25213867	10.1053/j.seminoncol.2014.09.006		https://doi.org/10.1053/j.seminoncol.2014.09.006			pemetrexed;cisplatin;radiosensitization;nsclc;preclinical	metadata_only
radiosensitization	preclinical_synergy	Argiris et al.	Pemetrexed in head and neck cancer: a systematic review.	Oral oncology	2013	23466170	10.1016/j.oraloncology.2013.01.007		https://doi.org/10.1016/j.oraloncology.2013.01.007			pemetrexed;cisplatin;radiosensitization;clinical_trial	metadata_only
radiosensitization	preclinical_synergy	Mantini et al.	Low-dose radiotherapy as a chemo-potentiator of a chemotherapy regimen with pemetrexed for recurrent non-small-cell lung cancer: a prospective phase II study.	Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology	2012	23068709	10.1016/j.radonc.2012.09.006		https://doi.org/10.1016/j.radonc.2012.09.006			pemetrexed;radiosensitization;nsclc;clinical_trial;preclinical	metadata_only
